Species	Tissue	CellType	Marker	Resource
Human	Blood	Activated B cell	CD5, MIR155HG, TAGLN2	35025971, 28910360, 2474446
Human	Blood	Activated CD4-positive, alpha-beta T cell	CD4, CCR6, CD14, CD19, CD38, CD3D, CD3G, CD69, CST3, CXCR3, FOSB, HLA-DPA1, HLA-DRA, IL2RA, IL7R, ITGB1, PTPRC, TFRC	35381424, 32783921, 35831277, 34529726, 10341394, 28566371
Human	Blood	Activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell, human	CD3D, CD3E, CD3G, CD4, FOXP3	30977974
Human	Blood	Adult endothelial progenitor cell	KDR, PROM1, CD34, PTPRC, PECAM1, CD14	27561827, 29391882, 24641802, 29147957, 26770089, 24624298, 23703397, 19424856, 26453327, 21294240, 19262489, 31284097
Human	Blood	Alpha-beta T cell	CD3D, CD3E, CD3G, IL7R	34284174, 28777444
Human	Blood	Alternatively activated macrophage	CD163, CCL22, CD14, CD209, CD36, CLEC4A, CXCR4, FCER2, IL10, IL1A, IL1B, MRC1, RETNLB, STAT6, TNFSF10	33988272, 29096690, 27667014
Human	Blood	Atypical B cell	FCRL5, ITGAX, CD19, CD72, ITGB2, LILRB1, LILRB2, TBX21	33567273, 34039612
Human	Blood	B cell	MS4A1, CD79A, CD19, CD79B, CD38, CD27, CD5, CD74, IGHM, CD22, CD40LG, PTPRC, BLNK, CD24, CR2, HLA-DRA, IgD family, IGHD, MZB1, AICDA, ALOX5AP, AQP9, BCL2A1, CCR7, CD28, CD37, CD3D, CD3E, CD3G, CD40, CD72, CD86, CLECL1, CXCR4, FCER2, FPR1, FPR2, G0S2, IGHA1, IGHG1, IGKC, ITGAX, LRRK2, MME, MXD1, NCF1, PAX5, PI3, PROK2, RGS2, S100A9, SAT1, SOD2, TCL1A, TFRC, TMEM154, TNFAIP6, TNFSF13B, ZAP70	32907628, 33287869, 32377375, 35549406, 35069597, 35092700, 35017482, 35260865, 32214235, 30016977, 31332193, 31118283, 31874628, 30050112, 32514174, 32518403, 31574155, 33159858, 34447367, 33363531, 35361683, 35417717, 32251406, 33482359, 33749664, 30595452, 34284174, 31675496, 35025971, 35768150, 33648458, 32989127, 32822091, 32199615, 31610612, 34521820, 32954948, 33861994, 35338007, 35416319, 35909944, 36015226, 34521850, 35111153, 35501841, 35766188, 35013299, 35039632, 35140214, 33870241, 34824394, 34691592, 33155517, 32788748, 32750333, 34529726, 32066974, Company, 25187226, 23722608, 25799053, 25254006, 23688120, 6970772, 21278234, 11193739, 21149806, 27867036, 28263960, 27018867, 29230012, 29361178, 30364725, 30279229, 29204848
Human	Blood	Basophil	CD63, ENPP3, IL3RA, CCR3, CD19, CD22, CD69, CLC, CPA3, FUT4, GATA2, HLA-DR family, ITGAM, KIT, MS4A2, SMAD1	35111153, Company, 12587990, 1971264, 28342911, 26522756, 26184676, 24712758, 22943204, 22805467, 21421855, 20608915, 20558998, 19945674, 19468979, 19240377, 18817894, 18028099, 16776678, 14707480, 12403934, 12110828, 11120855, 10520197
Human	Blood	Cardiac muscle cell	ACTA2, FMOD, FRZB, HAND1, IGF2, IGFBP3, LUM, SLN, TMEM88, TNNI1	29986945
Human	Blood	CD14-low, CD16-positive monocyte	FCGR3A, CD33, LYZ, MS4A7	35381424, 30016977, 32518403, 32822091, 35013299, 35039632
Human	Blood	CD14-positive monocyte	CD14, LYZ, S100A9, CD33, FCGR3A, MS4A7, S100A12, S100A8, VCAN	35381424, 30016977, 32514174, 32518403, 33382972, 33363531, 34284174, 32822091, 33861994, 35013299, 35039632, 35799782, 32788748, 32750333, 34529726
Human	Blood	CD14-positive, CD16-negative classical monocyte	CD14	19001052
Human	Blood	CD14-positive, CD16-positive monocyte	FCGR3A, CD14, FCGR3B, LYZ, CD68, S100A12	32514174, 33363531, 33861994, 32788748, 32750333, 34529726, 19001052, 29361178
Human	Blood	CD141-positive, CLEC9A-positive dendritic cell	C1ORF54, CADM1, CAMK2D, CLEC9A, HLA-DPA1	28428369
Human	Blood	CD16-negative natural killer cell	CD160, GNLY, NKG7	35549406
Human	Blood	CD16-negative, CD56-bright natural killer cell, human	GNLY, NCAM1, NKG7, TXNIP	35768150, 31477722
Human	Blood	CD16-positive myeloid dendritic cell	FCGR3A, CD14, CD33, CEACAM8, FCGR3B, FUT4, HLA-DR family, IL3RA, ITGAM, ITGAX, SECISBP2L	31156637, 25799053
Human	Blood	CD16-positive natural killer cell	FCGR3A, GNLY, NKG7	35549406
Human	Blood	CD16-positive, CD56-dim natural killer cell, human	FCGR3A, GNLY, NKG7, TXNIP	35768150
Human	Blood	CD1c-positive myeloid dendritic cell	CLEC10A, S100A9, ADAM8, ANXA1, CD1C, CD1D, FCER1A, HLA-DRA, LYZ, S100A8, VCAN	32251406, 33749664, 34284174, 28428369
Human	Blood	CD38-positive B cell	CD19, CD38, CD79A	35039632
