,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,MCC
B,0.9993076351384425,0.9976011024469598,0.9942753623188405,0.9959317088520805,0.9999536977676918,0.9995837533741915,0.9955572263309851
CD4_T,0.9898803380873631,0.97934509183607,0.9809516894132482,0.9800956343587763,0.9988506931898795,0.9963718443101728,0.973358643397179
CD8_T,0.9693937024309267,0.9306877025418441,0.8703920043608205,0.8995042561999769,0.9859148784851787,0.9525574791662683,0.8821823485218792
DC,0.9983679918846509,0.9667090647073067,0.9595964305000331,0.9630864532686786,0.9998605369000144,0.9946317228165522,0.962286696876452
Mono,0.9935894262653358,0.9843363461230912,0.9946745562130177,0.9894755563277122,0.9987057734512303,0.9952069147265294,0.9848975536564113
NK,0.9979043529245557,0.9917928691705905,0.9900341785224851,0.9909110467662025,0.9998185287684492,0.9985422718032421,0.9897282667639073
other,0.9942199787898597,0.9419520144549349,0.7756763256489013,0.8494567878675205,0.9573514637620926,0.8742015446558051,0.8513668561060449
other_T,0.9901832223604211,0.9020868928907744,0.8593275689356341,0.880127433035868,0.9935611519512146,0.9368945913388902,0.8753262254183193
