,Percentage,Prevalence,Other_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.3428955788248982,0.11203703703703703,0.15520120373598548,9431,1.0,1.0,1.0,1.0,1.0,0.3995700180530548,0.08409729599952698
1.4677992676220687e-05,0.23509307737056429,0.15907407407407406,0.2052590050828486,6466,1.0,1.0,1.0,1.0,1.0,0.1315482258796692,0.0010881838388741016
2.1544346900318854e-05,0.20869691681210006,0.17833333333333334,0.2260950144044626,5740,1.0,1.0,1.0,1.0,1.0,0.1424700915813446,0.00013053402653895319
3.16227766016838e-05,0.16881180919139036,0.20296296296296296,0.2528579554837881,4643,1.0,1.0,1.0,1.0,1.0,0.1461397111415863,0.0001373838895233348
4.6415888336127784e-05,0.22716695753344968,0.1725,0.221351634034901,6248,1.0,1.0,1.0,1.0,1.0,0.4388633370399475,0.00026784485089592636
6.81292069057961e-05,0.10863874345549739,0.26944444444444443,0.3175679395196066,2988,1.0,1.0,1.0,1.0,1.0,0.17144903540611267,0.00014971055497881025
9.999999999999991e-05,0.14623327515997672,0.23509259259259258,0.28570380020918584,4022,1.0,1.0,1.0,1.0,1.0,0.45423829555511475,0.00028056258452124894
0.00014677992676220703,0.06362710878417685,0.36944444444444446,0.4108391287593812,1750,1.0,1.0,1.0,1.0,1.0,0.21579651534557343,0.0002750862913671881
0.0002154434690031884,0.047520360674810934,0.43777777777777777,0.47215443051911116,1307,0.9992368353269869,0.9943760459655795,0.9639876128735604,0.9737237237237237,0.9671886651752424,0.2489987015724182,0.00047044779057614505
0.00031622776601683783,0.03432228039557882,0.49444444444444446,0.5162761252913004,944,0.9982898820798154,0.9876227041009185,0.9446542745380361,0.9605836649611522,0.9495176547719397,0.29204684495925903,0.0002782364608719945
0.00046415888336127795,0.039885107620709716,0.48814814814814816,0.5069269868066132,1097,0.9982030373401457,0.9864841602949027,0.9430941244379019,0.959597875569044,0.9480884557721139,0.4923848509788513,0.00026529518072493374
0.0006812920690579617,0.02675974403723095,0.5531481481481482,0.565499018294585,736,0.997110061783897,0.9799631029351501,0.9295816087799152,0.9520797393137819,0.9356692097579354,0.5044119358062744,0.00023573257203679532
0.0010000000000000002,0.018179173938336242,0.6102777777777777,0.6077674000403692,500,0.9961747061849818,0.9733862973739146,0.9161693919273365,0.9409842368319877,0.9234106772307111,0.5194351673126221,0.00023976516968104988
0.0014677992676220694,0.011452879581151832,0.6431481481481481,0.6079050222948053,315,0.9946718100010941,0.9647364310466846,0.9054751481889953,0.9347025770199574,0.9135498532335953,0.5367750525474548,0.00013458970352075994
0.0021544346900318843,0.007308027923211169,0.7164814814814815,0.6307870157990348,201,0.9933516489864547,0.9574405352110518,0.8924210110753052,0.9248296007789679,0.9015662078785003,0.5520259737968445,0.00019874950521625578
0.003162277660168382,0.004072134962187318,0.7199074074074074,0.6060608840853625,112,0.9907010171813737,0.9451022468421504,0.8741512295948259,0.9154120443740095,0.8845712098009187,0.5673182606697083,0.00014057754015084356
0.004641588833612781,0.002617801047120419,0.7375925925925926,0.5945831880653981,72,0.9895155356835817,0.9362132616397331,0.8594327350420028,0.9039840637450199,0.8710172744721688,0.5861203074455261,6.450446380767971e-05
0.006812920690579613,0.0018542757417102968,0.7224074074074074,0.4925408738095675,51,0.9862537251455907,0.9238096663065624,0.847828125617917,0.9005065856129686,0.8599903241412676,0.6086910963058472,0.0012728857109323144
0.010000000000000004,0.0014179755671902268,0.7157407407407408,0.4228489641631649,39,0.9855175616190901,0.9193928773068507,0.8388781123430817,0.8954248366013072,0.8515928515928515,0.6287742853164673,0.0005633004475384951
0.014677992676220709,0.001054392088423502,0.7448148148148148,0.45897939336110244,29,0.9832102514647425,0.9068868829966088,0.8235892683657677,0.8841086867023467,0.8373952037434198,0.645769476890564,0.0004098725621588528
0.02154434690031885,0.0006180919139034322,0.7688888888888888,0.38497531974237115,17,0.9761729221927948,0.8787855142958877,0.791874468672053,0.8662988115449916,0.8073575949367089,0.6590564250946045,0.0003605118836276233
0.0316227766016838,0.0004363001745200698,0.7514814814814814,0.35571682844927244,12,0.9724627077671282,0.8560718613672994,0.7601706685505982,0.841560681181289,0.7777667098316564,0.6717495918273926,0.0003526225336827338
0.04641588833612786,0.0002545084351367074,0.7688888888888888,0.38497531974237115,7,0.9448262000830491,0.742952847975755,0.6555776069333131,0.7929824561403509,0.6739084132055378,0.6831211447715759,0.000345724169164896
0.0681292069057962,0.00018179173938336242,0.8335185185185185,0.45897939336110244,5,0.9178953972321956,0.6558320288958628,0.5741883055610524,0.7591561675944917,0.5879950073754681,0.6912862658500671,0.00033117583370767534
0.10000000000000002,0.0,0.0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.6931474208831787,0.0
