lambda,Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history,log_lambda_range
1e-05,0.07033480404879315,0.6172209753111609,0.6155128205128205,1355,0.9998582997128208,0.9996752271604257,0.9945744600292321,0.9965017491254373,0.9962528103922059,0.003970460966229439,0.040259696543216705,-11.512925464970229
1.5e-05,0.06291201661043343,0.6400734543970619,0.6386538461538461,1212,0.9998531571382959,0.9996601056059677,0.9942121502247626,0.9965,0.9960019990004998,0.00504695251584053,0.021035894751548767,-11.129161282804555
2.2e-05,0.07121723332468206,0.6459906141603754,0.6460897435897436,1372,0.9998561756059517,0.9996624344310304,0.9942134857085618,0.996003996003996,0.996003996003996,0.006736853159964085,0.0024696988984942436,-10.745397100638879
3.2e-05,0.054814430314041006,0.7186798612528056,0.7181410256410257,1056,0.9998591381760584,0.9996715869376184,0.9956591781026158,0.9975,0.9970014992503748,0.008073111064732075,0.002717313589528203,-10.361632918473205
4.6e-05,0.043446664936413186,0.7499489900020404,0.7496153846153846,837,0.9998579643275256,0.9996703235568273,0.9945734844543322,0.9969984992496248,0.9962509372656835,0.01001899503171444,0.0020126013550907373,-9.977868736307531
6.8e-05,0.03939787178821697,0.7923893083044277,0.791923076923077,759,0.9998518714946647,0.9996617109370541,0.9934876207961217,0.9964964964964965,0.9955000000000002,0.012025225907564163,0.0009759161039255559,-9.594104554141857
0.0001,0.015157020503503763,0.750255049989798,0.7537820512820512,292,0.9996222443626204,0.999144955636815,0.9927630363711203,0.9969909729187563,0.9949949949949949,0.014409047551453114,0.012930984608829021,-9.210340371976184
0.000147,0.009914352452634312,0.7995307080187717,0.8023076923076923,191,0.9986751162892613,0.997038544041568,0.9887825150063259,0.9934902353530295,0.9922480620155039,0.017307568341493607,0.015720244497060776,-8.826576189810508
0.000215,0.008824292758889176,0.824117527035299,0.8246153846153846,170,0.9997565661733074,0.9994332922317716,0.9898675522490571,0.9944889779559118,0.9929964982491246,0.020756620913743973,0.00445097079500556,-8.442812007644834
0.000316,0.007111341811575396,0.8840032646398694,0.8833333333333333,137,0.9999114582820939,0.999801970088695,0.9942134857085618,0.996003996003996,0.996003996003996,0.02469029650092125,0.000874728022608906,-8.05904782547916
0.000464,0.00534648325979756,0.9381758824729647,0.9385897435897436,103,0.999945667582194,0.9998775888565576,0.9927651223469094,0.9955,0.9950024987506247,0.03004210814833641,0.011256972327828407,-7.6752836433134854
0.000681,0.004360238774980534,0.9806162007753519,0.9806410256410256,84,0.9999174952174057,0.9998077727702135,0.9920459951023205,0.9940119760479041,0.9945082376435346,0.03618999570608139,0.0011325988452881575,-7.291519461147811
0.001,0.003114456267843239,0.9830136706794532,0.9832051282051282,60,0.9998337606887294,0.9995419981136598,0.993492225346936,0.9950099800399201,0.9955067398901648,0.04387044906616211,0.018531035631895065,-6.907755278982137
0.001468,0.003737347521411887,0.984441950622322,0.9842948717948719,72,0.9998497473877958,0.9995928566547402,0.9938549544494695,0.9950124688279302,0.9957574245071126,0.054453812539577484,0.002820938127115369,-6.523991096816463
0.002154,0.0023877498053464833,0.9823505407059784,0.9823717948717949,46,0.9997238661070353,0.9990345755511638,0.9924063116243699,0.9945082376435347,0.9947565543071161,0.06671716272830963,0.009815770201385021,-6.140226914650788
0.003162,0.0022839345964183752,0.9806162007753519,0.9806410256410256,44,0.9997605348992995,0.9992916594505937,0.993492225346936,0.9950099800399201,0.9955067398901648,0.08310332894325256,0.0008551735081709921,-5.756462732485113
0.004642,0.0014015053205294575,0.9795960008161599,0.9793589743589743,27,0.9996348772087357,0.998387270512312,0.9895207820023632,0.9915296462381664,0.9927662758792716,0.10345759987831116,0.0020539734978228807,-5.3726985503194395
0.006813,0.0011419672982091876,0.9806162007753519,0.9806410256410256,22,0.9996470628744577,0.9983631881751682,0.9909628915572057,0.9930174563591022,0.9937609183928126,0.1298746019601822,0.0022172839380800724,-4.988934368153766
0.01,0.0008824292758889177,0.9843909406243624,0.9844871794871795,17,0.9996264925763584,0.9985550568369425,0.9884240387133497,0.9925,0.9920039980009996,0.16336603462696075,0.001175789162516594,-4.605170185988091
0.014678,0.0035816247080197247,0.9973474801061007,0.997051282051282,69,0.9997119040315101,0.9990597453885641,0.9916830969809836,0.9940089865202196,0.9942571785268414,0.21194756031036377,0.07993827015161514,-4.221406003822416
0.021544,0.0007786140669608098,0.9977555600897776,0.9975641025641026,15,0.9994293978179385,0.9984944831440756,0.9840736463270665,0.9909729187562688,0.9889889889889889,0.25925469398498535,0.0011302867205813527,-3.8376418216567423
0.031623,0.0007267064624967558,0.995919200163232,0.9957692307692307,14,0.9994389004012997,0.9985296966400632,0.9840762345436479,0.9904809619238477,0.9889944972486243,0.3241255283355713,0.0009208825649693608,-3.4538776394910684
0.046416,0.0006228912535686478,0.995919200163232,0.9957692307692307,12,0.9992595810635202,0.9982008169016536,0.9790133391795193,0.9864864864864865,0.9855,0.40101200342178345,0.0008511500782333314,-3.0701134573253928
0.068129,0.0003633532312483779,0.998979800040808,0.9989743589743589,7,0.9981984219898276,0.9943140889939815,0.9634177415690283,0.9778783308195073,0.9746930593836131,0.487016499042511,0.00017126451712101698,-2.686349275159719
0.1,0.0002595380223202699,0.998979800040808,0.9989743589743589,5,0.9969981898137673,0.9906486705769407,0.9532829474943743,0.9703666499246609,0.9676934635612321,0.5749430060386658,0.0002741263888310641,-2.3025850929940455
