,Accuracy,Precision,F1-score,ROC-AUC
ASDC,0.9999381819305783,1.0,0.9285714285714286,1.0
B_intermediate,0.9865236608660711,0.6373626373626373,0.34730538922155685,0.9824985042643157
B_memory,0.9875436590115291,0.7451737451737451,0.6570212765957447,0.9908888531613493
B_naive,0.9936945569189874,0.926208651399491,0.9345314505776637,0.9988987808387193
CD14_Mono,0.9885327481222761,0.9760988690684389,0.9783231083844581,0.9986802107897474
CD16_Mono,0.9935091027107223,0.9222756410256411,0.9164012738853503,0.9985345512739864
CD4_CTL,0.9916545606280716,0.6934673366834171,0.5054945054945055,0.9877335679675334
CD4_Naive,0.9437455568262603,0.7703225806451612,0.7240751970891449,0.9702407928181171
CD4_Proliferating,0.9997836367570241,0.8260869565217391,0.8444444444444444,0.9996288391945811
CD4_TCM,0.9430037399932,0.7423076923076923,0.6532531026701768,0.9650272323278511
CD4_TEM,0.9724600500726363,0.4186046511627907,0.16806722689075632,0.9449261819624417
CD8_Naive,0.9768491330015764,0.8799351000540833,0.8128903322508119,0.9843535559525713
CD8_Proliferating,0.9994127283404939,0.4,0.1739130434782609,0.9994794082779238
CD8_TCM,0.9821963960065527,0.5555555555555556,0.01706484641638225,0.9051408221938316
CD8_TEM,0.9736655024263592,0.8566650740563784,0.8080216313654799,0.988246105231924
Doublet,0.9964763700429635,1.0,0.109375,0.923187571921749
Eryth,0.9996909096528915,0.7058823529411765,0.7058823529411765,0.99992359635591
HSPC,0.999196365097518,0.8571428571428571,0.7868852459016394,0.9988075696100598
ILC,0.9996290915834698,0.9375,0.7142857142857143,0.9999333731508075
MAIT,0.9920563780793126,0.7964426877470355,0.7582314205079963,0.9963442326338486
NK,0.9828454857354805,0.9157043879907621,0.9195535584867373,0.996449389142597
NK_CD56bright,0.9979600037090842,0.8596491228070176,0.8166666666666668,0.9985328169322697
NK_Proliferating,0.9983618211603251,0.8064516129032258,0.7389162561576355,0.9990938131743887
Plasmablast,0.9999381819305783,1.0,0.9861111111111112,0.9999312522279371
Platelet,0.9978363675702407,0.9370786516853933,0.922566371681416,0.980641245858934
Treg,0.98392730195036,0.40404040404040403,0.13333333333333333,0.8487674594300036
cDC1,0.9999690909652892,0.967741935483871,0.9836065573770492,0.9999979374851757
cDC2,0.9923036503569993,0.8401084010840109,0.7134637514384349,0.9945434966879101
dnT,0.9987327295768553,0.9411764705882353,0.6095238095238095,0.9632822023523333
gdT,0.9910054708991438,0.8569105691056911,0.7836431226765799,0.980372877552709
pDC,0.9998454548264458,0.9826589595375722,0.9855072463768114,0.9999922314409123
