,Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.3672193135543921,0.09997653133067355,0.09997072599531616,10100,0.9876199337997625,0.9145564056497442,0.8065582492579861,0.7480392156862745,0.818230563002681,0.500588595867157,0.0019376076525077224
1.4677992676220687e-05,0.3368600930773706,0.11147617930063365,0.11124121779859485,9265,0.9872034896696762,0.9162254036643375,0.8209130399422041,0.7780061664953751,0.8327832783278329,0.5076344609260559,0.0013544575776904821
2.1544346900318816e-05,0.304064863292612,0.1243839474301807,0.12412177985948478,8363,0.986799148568567,0.9120322379240706,0.8132609234245239,0.771047227926078,0.8257284222100055,0.5150954127311707,0.001329110818915069
3.16227766016838e-05,0.27174229203025013,0.1394038957991082,0.13905152224824355,7474,0.9878082524891713,0.9129182015300944,0.8198645051763326,0.7822916666666667,0.8321329639889198,0.5229507684707642,0.0007402183837257326
4.6415888336127784e-05,0.2366564863292612,0.15841351795353203,0.15778688524590165,6509,0.9873346243230909,0.9136523920052576,0.8316500375872706,0.8089033659066233,0.8437146092865232,0.5308825969696045,0.0006517490837723017
6.81292069057961e-05,0.1996436881908086,0.18164750058671672,0.18091334894613584,5491,0.9874016906487999,0.9134664170262197,0.8264329572451651,0.8008611410118407,0.8387824126268321,0.5386413335800171,0.0007170710596255958
9.999999999999991e-05,0.16295811518324607,0.210396620511617,0.20989461358313818,4482,0.988095005446363,0.9135475768080833,0.8388832145609518,0.8292134831460675,0.8507204610951009,0.546145498752594,0.0006459349533542991
0.00014677992676220676,0.1264543339150669,0.2525228819525933,0.25234192037470726,3478,0.987629927126441,0.9046603992998564,0.8247864983784623,0.8129175946547884,0.8376362593230062,0.5534501075744629,0.0006728023872710764
0.0002154434690031884,0.0931500872600349,0.31119455526871626,0.3100117096018735,2562,0.9867326929461548,0.892679808560322,0.8167378707043744,0.8008800880088008,0.8301026225769669,0.5604724287986755,0.0007426913361996412
0.00031622776601683783,0.06671756835369401,0.3766721426895095,0.3744145199063232,1835,0.9807641230689284,0.8556872037578059,0.7824755193543724,0.767467248908297,0.7984099943214082,0.5672157406806946,0.0006000126013532281
0.00046415888336127757,0.043884525887143686,0.44449659704294764,0.44233021077283374,1207,0.9885989467033681,0.8988204729823255,0.8191781294704853,0.8182857142857143,0.8325581395348838,0.5737687945365906,0.000836118299048394
0.0006812920690579611,0.02843222803955788,0.5361417507627317,0.5367388758782201,782,0.9920428691507116,0.9303860733670577,0.8561604818604576,0.8765133171912833,0.8665469778575704,0.5803163647651672,0.000825453782454133
0.0009999999999999994,0.017924665503199533,0.6122975827270594,0.6094847775175644,493,0.9940625204724401,0.9449946438010017,0.8711973096786458,0.8890229191797346,0.8805256869772998,0.5872291922569275,0.0006159964832477272
0.0014677992676220694,0.011052937754508435,0.6715559727763436,0.6697892271662763,304,0.9943906346983848,0.9498793505073848,0.8853992592193245,0.915527950310559,0.8933333333333333,0.5945671200752258,0.0006641793879680336
0.0021544346900318825,0.0067262943571844095,0.72518188218728,0.7257025761124122,185,0.9943583229421242,0.9516709452196449,0.8730466230476177,0.9032258064516129,0.8818897637795274,0.6020609736442566,0.0006495107663795352
0.003162277660168379,0.004253926701570681,0.7406712039427364,0.7397540983606558,117,0.9931346956088213,0.9339503601941502,0.8558157297625806,0.8890274314214464,0.8658166363084396,0.6093760132789612,0.0006088007357902825
0.004641588833612776,0.003090459569517161,0.7472424313541423,0.7491217798594848,85,0.9920271019019522,0.9239022044298819,0.8401220973108849,0.8789407313997478,0.8510378510378511,0.6171136498451233,0.0005673710256814957
0.006812920690579607,0.0018542757417102968,0.8021591175780334,0.8015222482435597,51,0.9894428276228874,0.9121093645488417,0.8243389058681825,0.8638083228247163,0.8363858363858364,0.6252526044845581,0.00043938742601312697
