,Percentage,Prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.15717713787085516,0.252866745749308,4323,1.0,1.0,1.0,1.0,1.0,0.026614023372530937,0.0005610071239061654
1.4677992676220687e-05,0.12987201861547412,0.2888493475682088,3572,1.0,1.0,1.0,1.0,1.0,0.03141569346189499,0.000570964883081615
2.1544346900318854e-05,0.11932809773123909,0.3129201265322262,3282,1.0,1.0,1.0,1.0,1.0,0.03623443841934204,0.011201492510735989
3.16227766016838e-05,0.10114892379290286,0.34564056939501775,2782,0.9999958040813465,0.9999795966074337,0.9997621174258475,0.9998022933965994,0.9998022933965994,0.040591463446617126,0.0022493116557598114
4.6415888336127784e-05,0.07569808027923211,0.41147686832740216,2082,0.9999599590611783,0.9998200675314591,0.9979773781071798,0.9988125865822284,0.9983186628424487,0.04536047205328941,0.0006084907799959183
6.81292069057961e-05,0.052137870855148344,0.4791419533412416,1434,0.999527334628798,0.9980506533078131,0.9807640792578515,0.9859085045152327,0.9840043579458227,0.05040421336889267,0.00019271286146249622
9.999999999999991e-05,0.05257417102966841,0.5134440490312376,1446,0.9992924307001638,0.9972051826120488,0.9748631737277212,0.9812351072279587,0.9790964929661184,0.056594643741846085,0.00035325836506672204
0.00014677992676220703,0.029304828388598023,0.6137307236061684,806,0.9984745403133816,0.9939654830282778,0.9611135361910055,0.9715025906735751,0.9676458912266772,0.06196875125169754,0.0037343050353229046
0.0002154434690031884,0.024978184991273997,0.6750691973111902,687,0.9980995685578912,0.9925801432154576,0.9550282892053689,0.9664208848146671,0.9625843588725684,0.06854389607906342,0.0004931517760269344
0.00031622776601683783,0.017815590459569517,0.7405100830367735,490,0.9976623848121042,0.9909089677414524,0.9497187165438605,0.9637,0.9581427719228475,0.07556015253067017,0.0002944252628367394
0.00046415888336127795,0.010143979057591623,0.7924080664294187,279,0.9971546965268969,0.9888381706810202,0.9434217674240135,0.9590467607890257,0.9528926030940655,0.08268759399652481,0.0009160841000266373
0.0006812920690579617,0.0062899941826643395,0.794978252273626,173,0.9958267806110574,0.9828643682739169,0.9255014504362765,0.948539075927611,0.9378717448892888,0.09006380289793015,0.0014636764535680413
0.0010000000000000002,0.003890343222803956,0.8383748517200474,107,0.9950847027100089,0.9793286333542932,0.917505992100123,0.9432106277253828,0.9311708464734444,0.09838580340147018,0.003841710276901722
0.0014677992676220694,0.003308609656777196,0.8422301304863582,91,0.994636905057358,0.9776281953542372,0.914524081646761,0.9413975218362787,0.9286644624787095,0.10804048180580139,0.00659475801512599
0.0021544346900318843,0.002181500872600349,0.8544385132463425,60,0.9933152681262712,0.9730769185838152,0.9081593138019507,0.9390655352213475,0.9232547620244258,0.11966453492641449,0.0012889583595097065
0.003162277660168382,0.0014179755671902268,0.939996045867932,39,0.992506025740311,0.9697145429848448,0.9040866033609093,0.9383871631351574,0.9197499747958463,0.13402529060840607,0.0010491263819858432
0.004641588833612781,0.0010907504363001745,0.9395512060102807,30,0.9917068134466924,0.9666607390091962,0.8970455892191889,0.9350300020691082,0.9137599838236782,0.15143179893493652,0.0006521028117276728
0.006812920690579613,0.000981675392670157,0.9458283906682483,27,0.9910464358206857,0.9642727365119621,0.8933187015919544,0.9334509966777409,0.9105732226048208,0.1727035641670227,0.0014444931875914335
0.010000000000000004,0.0007998836532867946,0.9793396599446421,22,0.9864321525037274,0.9482655409227301,0.86642778508764,0.9161758519141775,0.8877904606604159,0.19759634137153625,0.0009737136424519122
0.014677992676220709,0.0006908086096567772,0.9858639778568604,19,0.986112428665312,0.9466042854738285,0.8636443372840014,0.9134959007778012,0.8854814060112074,0.22838136553764343,0.0008692996925674379
0.02154434690031885,0.0006180919139034322,0.9940688018979834,17,0.9850280686504557,0.943843462578998,0.8608757221090154,0.913015940040114,0.8830466077900863,0.2666815221309662,0.0006662013474851847
0.0316227766016838,0.0004363001745200698,0.9945136417556346,12,0.9836635213520311,0.9372162651153085,0.8490303438944637,0.9034679636286741,0.873096965362215,0.312874972820282,0.0003569015534594655
0.04641588833612786,0.0004363001745200698,0.9972815342032424,12,0.9835424076394903,0.93694398880852,0.8520020868418086,0.9055766793409379,0.8756127450980392,0.3667635917663574,0.0005020619719289243
0.0681292069057962,0.0002181500872600349,0.9768189007512851,6,0.9824626148810953,0.9334551138620621,0.8445150465173322,0.9015400955921402,0.8691823255337668,0.4234696328639984,0.00012895173858851194
0.10000000000000002,0.0003272251308900524,0.9949584816132859,9,0.9825781227827708,0.9335288564798544,0.8446128376730084,0.9012096774193549,0.8692937563971341,0.4717712998390198,0.00022331831860356033
