,Percentage,Prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.1549956369982548,0.20162696106914585,4263,1.0,1.0,1.0,1.0,1.0,0.02932746335864067,0.0004019875777885318
1.4677992676220687e-05,0.1102021524141943,0.23765252760023242,3031,0.9999812060749252,0.9998215650807585,0.9995375546627625,1.0,0.9995640168580149,0.0343514084815979,0.015462358482182026
2.1544346900318854e-05,0.09089586969168122,0.26975595583962814,2500,0.9997947283451861,0.9980030999164129,0.9875018070937072,0.9895135450043694,0.9882181818181819,0.036819539964199066,0.0004300427681300789
3.16227766016838e-05,0.07882489819662594,0.30069726902963395,2168,0.9992062088294291,0.9930459279819266,0.9693384853469846,0.9853425067304816,0.9709653647752395,0.04006662592291832,0.0006647452246397734
4.6415888336127784e-05,0.051774287376381616,0.360691458454387,1424,0.9971388564864077,0.9782193097131657,0.9369306043047985,0.9691453255168158,0.9399970073320365,0.04362333565950394,0.0004348413785919547
6.81292069057961e-05,0.04159394997091332,0.4013654851830331,1144,0.9949288102894783,0.9681292466138771,0.9251730142908896,0.9681488489435509,0.9284742174504763,0.04607997089624405,0.0004937985213473439
9.999999999999991e-05,0.026396160558464225,0.4891051714119698,726,0.9909262137224368,0.9541351695545819,0.9122560118930426,0.9628443305573351,0.9159049360146253,0.048764366656541824,0.0018162537598982453
0.00014677992676220703,0.015779522978475857,0.5701626961069146,434,0.9870350890094598,0.9437728086242645,0.9019678061987952,0.9602864583333334,0.9057414798894687,0.05145334452390671,0.003684020135551691
0.0002154434690031884,0.009707678883071552,0.6074956420685648,267,0.9849081127847528,0.9369446740768218,0.8927985385356484,0.9526453298497713,0.8969864698646985,0.05433142930269241,0.006285395938903093
0.00031622776601683783,0.008871436881908086,0.7305345729227193,244,0.9824404014633531,0.9316545411008326,0.889690213928913,0.95385629531971,0.8937615812229772,0.05785122141242027,0.0018677861662581563
0.00046415888336127795,0.004581151832460733,0.6942184776292852,126,0.9799878662879131,0.9238209853820374,0.8787528693009372,0.9495152123035774,0.8829473029690658,0.061178065836429596,0.0026497659273445606
0.0006812920690579617,0.0029086678301337987,0.705403834979663,80,0.9781357692291264,0.9184267007047757,0.8715013880399586,0.9457547169811321,0.8758190327613103,0.06538009643554688,0.0015532822581008077
0.0010000000000000002,0.0022178592204770216,0.7184776292852992,61,0.9758862619649811,0.9145825077434886,0.8680194025665671,0.9459918478260869,0.8722204823050422,0.07039378583431244,0.0017951405607163906
0.0014677992676220694,0.0015997673065735892,0.7664148750726322,44,0.9745515639278294,0.9096584812328823,0.8669254934422905,0.947098976109215,0.8709981167608286,0.07600237429141998,0.0015455760294571519
0.0021544346900318843,0.0010907504363001745,0.8002614758861127,30,0.9665270879796021,0.8897434503593914,0.8542136669287166,0.9498587570621468,0.8575071724577622,0.08190924674272537,0.0015305030392482877
0.003162277660168382,0.0009453170447934846,0.8024404416037187,26,0.9626631403526928,0.8851727464726542,0.8521338375012892,0.9490084985835694,0.8554101500159592,0.08877458423376083,0.0011038329685106874
0.004641588833612781,0.0007635253054101221,0.937245787332946,21,0.9570352964013491,0.878375220231914,0.8388494950105446,0.9367448471926084,0.8427109974424553,0.0962257832288742,0.002065777312964201
0.006812920690579613,0.0005090168702734148,0.9067402672864613,14,0.9527854300353168,0.8698704116587748,0.8189175122629031,0.9277635899306822,0.8225780365518356,0.10413545370101929,0.0007214577053673565
0.010000000000000004,0.0002181500872600349,0.7867518884369553,6,0.9418453843545512,0.8450079002463293,0.7853481603000072,0.9256490952006294,0.7864304812834224,0.11294030398130417,0.00013417443551588804
0.014677992676220709,0.00018179173938336242,0.7954677513073795,5,0.9414039947177337,0.8402491065997657,0.78335193637937,0.9273809523809524,0.7839651123783964,0.12356100231409073,0.0006055294070392847
0.02154434690031885,0.00014543339150668993,0.8826263800116212,4,0.9405961801501673,0.8365154550166253,0.7834279291774928,0.9294539657233958,0.7837338262476894,0.13716734945774078,0.0006688048597425222
0.0316227766016838,7.271669575334496e-05,0.8755084253341081,2,0.923158595459785,0.7899813353414047,0.7805265817365946,0.9342799188640973,0.7797528356187574,0.1545228660106659,0.0002574920654296875
0.04641588833612786,0.00010907504363001745,0.7954677513073795,3,0.9234275153252571,0.7933018927704576,0.7833106289369453,0.9400244798041616,0.7819446801289666,0.17666006088256836,0.0007700325222685933
0.0681292069057962,7.271669575334496e-05,0.8755084253341081,2,0.923158595459785,0.7899813353414047,0.7805265817365946,0.9342799188640973,0.7797528356187574,0.20333397388458252,0.000122739453217946
0.10000000000000002,0.00010907504363001745,0.7954677513073795,3,0.9234275153252571,0.7933018927704576,0.7833106289369453,0.9400244798041616,0.7819446801289666,0.23217758536338806,0.00024017691612243652
