,Percentage,Prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.013561663757998837,0.7440209267563528,373,1.0,1.0,1.0,1.0,1.0,0.000948504835832864,0.015779120847582817
1.4677992676220687e-05,0.012507271669575335,0.7784628799202791,344,1.0,1.0,1.0,1.0,1.0,0.0012297425419092178,0.012839662842452526
2.1544346900318854e-05,0.009162303664921465,0.7864349775784754,252,1.0,1.0,1.0,1.0,1.0,0.0015726753044873476,0.011683672666549683
3.16227766016838e-05,0.007380744618964514,0.8150224215246636,203,1.0,1.0,1.0,1.0,1.0,0.001989338081330061,0.009158890694379807
4.6415888336127784e-05,0.005599185573007563,0.8361360239162929,154,1.0,1.0,1.0,1.0,1.0,0.0025420840829610825,0.008318890817463398
6.81292069057961e-05,0.004762943571844095,0.8753114100647733,131,1.0,1.0,1.0,1.0,1.0,0.0031928508542478085,0.006458961870521307
9.999999999999991e-05,0.0034904013961605585,0.8760587942202291,96,1.0,1.0,1.0,1.0,1.0,0.003949387930333614,0.006096635479480028
0.00014677992676220703,0.0025087260034904013,0.8753114100647733,69,0.999999839098696,0.9999989604632128,0.9995685256748166,0.9995018679950187,0.9996263544650641,0.004883153364062309,0.005716757383197546
0.0002154434690031884,0.0022178592204770216,0.9291230692575984,61,0.9999982781158963,0.9999890152954755,0.9989213683617731,0.9988793425476279,0.9990659443302821,0.006140332669019699,0.0059000770561397076
0.00031622776601683783,0.0018906340895869691,0.9251370204285002,52,0.9999959342401846,0.9999732331345815,0.9983463011193306,0.9982571890949832,0.99856795965382,0.0077572837471961975,0.0035490398295223713
0.00046415888336127795,0.0013452588714368819,0.9211509715994021,37,0.9999904972170174,0.9999339079812251,0.9977705477982939,0.9980072238136755,0.9980693778414398,0.009789728559553623,0.004195501562207937
0.0006812920690579617,0.001127108784176847,0.9341056302939711,31,0.9999901634068494,0.9999326619995754,0.9976267120055327,0.9978826753020301,0.9979448215731457,0.012493998743593693,0.0044495039619505405
0.0010000000000000002,0.0010180337405468296,0.9251370204285002,28,0.9999861552833221,0.9999006630141329,0.9974111023325056,0.9976338729763388,0.9977581267903848,0.016095779836177826,0.0034154842142015696
0.0014677992676220694,0.0007998836532867946,0.9396487294469358,22,0.999980468502907,0.999863617733665,0.9960423276228515,0.9972558313583635,0.9965721408538486,0.02066834270954132,0.0032382961362600327
0.0021544346900318843,0.0007635253054101221,0.9407075236671649,21,0.9999704638039164,0.9997876719546552,0.996330181127587,0.9975053012348759,0.9968214397008414,0.02688444033265114,0.0036221544723957777
0.003162277660168382,0.0006180919139034322,0.9647483806676632,17,0.9999536244017749,0.9996743961742125,0.9958990792031752,0.9968831816481736,0.9964483768459094,0.034969162195920944,0.002389590023085475
0.004641588833612781,0.0005817335660267597,0.9750871948181365,16,0.9999497195432635,0.9996600918712751,0.9954662667758456,0.9968808484092326,0.9960730536682665,0.045591674745082855,0.002446896629408002
0.006812920690579613,0.0005817335660267597,0.9750871948181365,16,0.9999497195432635,0.9996600918712751,0.9954662667758456,0.9968808484092326,0.9960730536682665,0.05959741771221161,0.002051894087344408
0.010000000000000004,0.0004726585223967423,0.9854260089686099,13,0.9999249695605952,0.9994924294287985,0.9944560282668358,0.996875390576178,0.9951962068750391,0.0777483582496643,0.000827108568046242
0.014677992676220709,0.00036358347876672484,0.9916542102640757,10,0.9998082368653167,0.9989726061079629,0.9901992740296252,0.994610177989471,0.9915031863051356,0.1010620966553688,0.0011692530242726207
0.02154434690031885,0.00036358347876672484,0.9916542102640757,10,0.9998082368653167,0.9989726061079629,0.9901992740296252,0.994610177989471,0.9915031863051356,0.13119453191757202,0.0002866269205696881
0.0316227766016838,0.0003272251308900524,0.9896611858495267,9,0.9998161834685236,0.9989582637899685,0.9897660476803956,0.994358074222668,0.9911272181954511,0.169591024518013,0.0013779373839497566
0.04641588833612786,0.00036358347876672484,0.9916542102640757,10,0.9998082368653167,0.9989726061079629,0.9901992740296252,0.994610177989471,0.9915031863051356,0.21801792085170746,6.368375761667266e-05
0.0681292069057962,0.00029086678301337986,0.9875435974090683,8,0.9997749927347058,0.9988776997892264,0.9894063466498282,0.993858879558842,0.9908165177734741,0.2755342125892639,0.0007758169085718691
0.10000000000000002,0.0002545084351367074,0.9896611858495267,7,0.9997493253744536,0.9986529000792562,0.9890436510399971,0.9939789262418465,0.9905,0.3422393500804901,0.00032867115805856884
