,Lambda,Feature_no,Odds_ratio,P-value
0,0.014677992676220709,14,4581.5,7.215897659480819e-07
0,0.006812920690579613,21,inf,3.8358594470999425e-10
0,0.003162277660168382,36,inf,2.059250861074706e-09
0,0.0021544346900318843,44,inf,3.8197084599542586e-09
0,0.0014677992676220694,57,inf,8.438890783619874e-09
0,0.0010000000000000002,68,inf,1.4453979853448173e-08
0,0.0006812920690579617,88,inf,3.1649012953906706e-08
0,0.00046415888336127795,118,inf,7.698137294602467e-08
