,Lambda,Feature_no,Odds_ratio,P-value
0,0.0014677992676220694,12,inf,6.345030664375844e-11
0,0.0006812920690579617,18,3435.625,1.2131046822591096e-06
0,0.00046415888336127795,23,inf,5.107749684822555e-10
0,0.00031622776601683783,33,inf,1.5735676047652093e-09
0,0.0002154434690031884,60,inf,9.86940678795188e-09
