,accuracy,precision,recall,f1,roc_auc,pr_auc,mcc
B,0.9988100040739282,0.9926681204797729,0.9933876811594203,0.9930275754163702,0.9963516991423275,0.9866695438301919,0.9923772602164223
CD4_T,0.6679134142208667,0.3988662053917671,0.6115362675231691,0.4828127250449679,0.6492953036941079,0.3423868275585299,0.2664749833609671
CD8_T,0.910866070523564,0.6794085124086282,0.8217423312883436,0.7438024965071722,0.874631181014118,0.5863650556415506,0.6950331883679437
DC,0.9982227245316526,0.9638912590704021,0.9557642781396758,0.959788662964641,0.9774751548538904,0.9222330440172767,0.9589003992391092
Mono,0.9915309186889422,0.9771418212704358,0.9953325890716085,0.9861526136156241,0.9926055398443776,0.9739950215534003,0.9801407045477243
NK,0.990657733621741,0.9583229920902244,0.9608197253963423,0.9595675847936314,0.9776845166134794,0.9253063931740453,0.9542887304833634
other,0.9929836427844047,0.926690876379174,0.7280211186272892,0.8152223595577588,0.8633828862843721,0.6803627524490972,0.8179502864020766
other_T,0.9569514208482129,0.4913132362234739,0.6402089993748317,0.5553024597238043,0.8055175858066818,0.32937336164251263,0.5386443745737788
