,Accuracy,Precision,F1-score,ROC-AUC
ASDC,0.9998392720641057,0.8849775224775225,0.8156767592807637,0.9993594698930972
B_intermediate,0.9879701263033043,0.656062538153817,0.5122044547281421,0.9883062506894884
B_memory,0.9895403146295152,0.7634594407370578,0.7319735934964215,0.995568728067861
B_naive,0.9953327086253603,0.947921219368704,0.9512559488674007,0.9993023020569332
CD14_Mono,0.979000277997876,0.9421656367197269,0.961010420553848,0.9958380672051588
CD16_Mono,0.9932617893509234,0.8999395066997276,0.9152343824075284,0.9979854071438853
CD4_CTL,0.9925632417270256,0.7540523519905121,0.5675828607582247,0.990340857893521
CD4_Naive,0.9427128526522903,0.7637168175824837,0.7196058055714144,0.971222848340789
CD4_Proliferating,0.9995487250359482,0.6814361001317523,0.646456733800675,0.9976600682007806
CD4_TCM,0.9456244982441009,0.7407323119580007,0.6806824716478199,0.9670055599415667
CD4_TEM,0.9727009733487384,0.3858513847479294,0.09514458348909996,0.9476011498591344
CD8_Naive,0.9786540840067819,0.8610260940876676,0.8347696026906879,0.988812996232617
CD8_Proliferating,0.9994003616693361,0.4523809523809524,0.3019102564102564,0.9962873862647476
CD8_TEM,0.9766758990975021,0.8588339597134185,0.8345932962520222,0.9884990630099704
Doublet,0.9964021661944249,0.7095959595959596,0.08039143079143078,0.8970503078231744
Eryth,0.9998639992918743,0.9070085470085469,0.8606577020370125,0.9928931423586999
ILC,0.9991839965155643,0.0,0.0,0.9607461521207152
MAIT,0.992396328353677,0.8033772750381696,0.7699819703639955,0.9955131101024511
NK,0.9835439341890704,0.9119699703618405,0.9234774869414917,0.997240231386737
NK_CD56bright,0.997131624954909,0.7927027259933219,0.7370202564423776,0.9978221899870683
NK_Proliferating,0.998534903729363,0.8303624147409142,0.7672536589824969,0.9965183328936986
Plasmablast,0.9998269082591417,0.991385997142274,0.960497785165938,0.9996337863019484
Platelet,0.9970821727923267,0.876664521704719,0.8998356822881188,0.9782531568645222
cDC1,0.9998825449037805,0.9258167299177735,0.9387274354883525,0.9997284838355164
cDC2,0.9966123491590955,0.8997836578689944,0.8891643150597617,0.9981251088533302
dnT,0.9981763560605235,0.919327731092437,0.31217634622559387,0.9352357419202224
gdT,0.9911785022588511,0.8311410302599761,0.7964569459715124,0.9866486881307119
pDC,0.9998516356779901,0.9805683966908054,0.9861365538794903,0.9999667608604845
