celltype,v2_opt_lmbd,v3_opt_lmbd
CD8_Proliferating,0.004641588833612781,0.00046415888336127795
CD8_TCM,0.00046415888336127795,0.00046415888336127795
dnT,0.010000000000000004,0.00046415888336127795
ILC,0.006812920690579613,0.0002154434690031884
Treg,0.00031622776601683783,0.00031622776601683783
