,Accuracy,Precision,F1-score,ROC-AUC
B,0.998609093438012,0.9934569247546347,0.9918345127925966,0.9998095294764675
CD4_T,0.8722529595400735,0.7438541791581724,0.750105810508495,0.9443206721782782
CD8_T,0.9669582418941056,0.8960834481401299,0.8949385749385749,0.9870521146212892
DC,0.995580008036349,0.9136690647482014,0.8987968860580325,0.9972290572349215
Mono,0.9828454857354805,0.9538627662707372,0.9722347291010056,0.9947061072686489
NK,0.9872036596297098,0.9419440745672437,0.9447115384615385,0.9972935308127804
other,0.9905109263437702,0.8245315161839863,0.7592156862745097,0.8985475673750272
other_T,0.9783945847371187,0.8202137998056366,0.7071638039379974,0.9754754496247553
