True,ASDC,B_intermediate,B_memory,B_naive,CD14_Mono,CD16_Mono,CD4_CTL,CD4_Naive,CD4_Proliferating,CD4_TCM,CD4_TEM,CD8_Naive,CD8_Proliferating,CD8_TCM,CD8_TEM,Doublet,Eryth,HSPC,ILC,MAIT,NK,NK_CD56bright,NK_Proliferating,Plasmablast,Platelet,Treg,cDC1,cDC2,dnT,gdT,pDC
ASDC,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4
B_intermediate,0,1676,240,496,2,0,0,0,0,3,5,0,0,0,1,0,1,0,0,0,5,0,0,0,0,1,0,0,1,0,0
B_memory,0,141,3106,25,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0
B_naive,0,121,57,7524,1,3,0,1,0,0,0,0,0,0,1,0,0,2,0,0,3,2,0,0,0,1,0,0,0,2,0
CD14_Mono,0,2,1,2,42411,190,0,1,1,1,2,1,0,0,3,4,0,1,2,1,2,0,1,3,11,3,0,45,1,0,1
CD16_Mono,0,0,1,0,370,5938,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0
CD4_CTL,0,0,0,0,0,0,1608,1,0,7,3,0,0,0,107,0,0,0,1,1,7,0,0,0,0,0,0,0,0,1,0
CD4_Naive,0,0,0,0,0,0,0,16906,0,402,4,63,0,1,0,0,2,0,0,0,0,0,0,0,0,85,0,0,10,6,0
CD4_Proliferating,0,0,0,0,2,0,0,0,83,10,1,2,5,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
CD4_TCM,0,0,0,0,1,0,10,803,3,13388,414,6,0,99,15,0,3,0,0,4,1,0,0,0,0,130,0,0,3,9,0
CD4_TEM,0,0,0,0,0,0,64,11,0,1435,2446,0,0,100,72,0,0,0,0,105,0,0,0,1,0,19,0,0,16,13,0
CD8_Naive,0,0,0,0,1,0,0,240,0,28,7,10297,0,65,104,0,1,0,0,0,0,0,1,0,0,12,0,0,8,4,0
CD8_Proliferating,0,0,0,0,0,0,4,0,3,0,0,2,23,1,38,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0
CD8_TCM,0,0,0,0,0,0,0,22,0,498,79,159,0,1922,173,0,0,0,0,4,1,0,0,0,0,19,0,0,0,6,0
CD8_TEM,0,1,0,0,2,0,61,3,0,37,335,64,0,77,10877,0,1,0,1,12,94,2,1,0,0,4,0,0,11,144,0
Doublet,0,0,0,0,216,330,0,18,0,12,1,0,0,0,0,21,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0
Eryth,0,0,0,0,15,0,0,1,0,0,0,2,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSPC,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,1,0
ILC,0,0,0,0,0,0,0,0,0,85,11,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,27,0
MAIT,0,0,0,0,0,0,4,0,0,13,91,0,0,0,67,0,0,0,0,2592,3,2,0,0,0,0,0,0,0,12,0
NK,0,2,0,0,0,0,1,0,0,1,0,0,0,0,58,0,5,1,1,11,17010,39,15,0,0,2,0,0,0,27,0
NK_CD56bright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,161,778,0,0,0,0,0,0,0,2,0
NK_Proliferating,0,0,0,0,0,0,1,0,11,0,0,0,0,0,3,0,0,0,0,0,158,5,365,0,0,0,0,0,1,4,0
Plasmablast,0,1,7,0,1,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,1,0,0
Platelet,0,0,3,3,47,7,1,15,0,1,5,22,0,2,9,5,2,0,1,1,18,4,1,0,2132,1,0,2,2,7,2
Treg,0,0,1,0,0,0,0,254,0,183,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2062,0,0,1,0,0
cDC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,3,0,0,0
cDC2,0,0,1,0,189,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2306,0,0,0
dnT,0,0,0,0,0,0,0,29,0,11,7,51,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,234,7,0
gdT,0,0,0,0,2,0,5,65,0,18,17,33,0,6,252,0,0,0,0,79,120,1,0,0,0,12,0,0,7,3032,0
pDC,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855
