,Percentage,Prevalence,Other_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.12489092495636998,0.2649478880965442,0.3472312953925374,3435,1.0,1.0,1.0,1.0,1.0,0.020872587338089943,0.000805047107860446
1.4677992676220687e-05,0.11263816172193135,0.2829584933260194,0.3679629558467509,3098,1.0,1.0,1.0,1.0,1.0,0.02648356184363365,0.012493262067437172
2.1544346900318854e-05,0.10071262361838278,0.308740171877857,0.3977154824578258,2770,1.0,1.0,1.0,1.0,1.0,0.03199160844087601,0.00034006862551905215
3.16227766016838e-05,0.08009744037230948,0.35655512890839275,0.44866080006148407,2203,1.0,1.0,1.0,1.0,1.0,0.03641869127750397,0.0004156911454629153
4.6415888336127784e-05,0.06060936591041303,0.40903272993234596,0.5028628520923798,1667,1.0,1.0,1.0,1.0,1.0,0.040660399943590164,0.0003342234995216131
6.81292069057961e-05,0.049810936591041306,0.47869811665752426,0.5579583445413673,1370,0.9998831680376249,0.9989761402288919,0.986262014305176,0.9873880460610491,0.9875685557586837,0.04597224295139313,0.0003837346739601344
9.999999999999991e-05,0.04028504944735311,0.5383068202596453,0.6053106867002267,1108,0.9995470938977725,0.9959770043733288,0.970668303552104,0.9747021081576536,0.9734529476382278,0.052282966673374176,0.0004653223732020706
0.00014677992676220703,0.03494037230948226,0.5673797769244835,0.6275410214041425,961,0.9992979437216274,0.9938301792417672,0.959646427402567,0.9646260997067448,0.9634782608695653,0.06045494228601456,0.0002022454427788034
0.0002154434690031884,0.022614892379290284,0.6393307734503566,0.675652307574069,622,0.9987063780526877,0.9889814922245653,0.9462265158126076,0.9498724024790376,0.9513464171611137,0.06730057299137115,0.0008594738901592791
0.00031622776601683783,0.021996800465386854,0.7229840921557872,0.7248972063174883,605,0.9985742390128788,0.9878291026730631,0.9442467487329865,0.9473971605387695,0.9495576028459364,0.07703327387571335,0.0001772968244040385
0.00046415888336127795,0.017015706806282723,0.7827756445419638,0.7761883718249241,468,0.9980099850767764,0.9832088662340189,0.9319692948787286,0.9359767188068389,0.9384517187927419,0.08581109344959259,0.00022290008200798184
0.0006812920690579617,0.015488656195462478,0.8156884256719692,0.7977846520385812,426,0.9960703215498772,0.9675860864248921,0.9021214754411375,0.9144119271120927,0.9113924050632911,0.09612511098384857,0.00025128322886303067
0.0010000000000000002,0.010325770796974986,0.9193636862314866,0.8841889866656419,284,0.9947049843462736,0.9559117724909816,0.8871708464966856,0.9052044609665427,0.897778597105724,0.10599935799837112,8.225641795434058e-05
0.0014677992676220694,0.007198952879581152,0.9093070031084294,0.8783095723014256,198,0.9941340061168021,0.9500891105603007,0.8768669351724556,0.8942396740137062,0.8884799411115202,0.11880786716938019,0.0004121066886000335
0.0021544346900318843,0.004326643397324026,0.8943134028158712,0.8428697690504554,119,0.9924429165988001,0.9364649444315296,0.8532742858521606,0.8772225341568407,0.8669996300406955,0.13228344917297363,0.00555452099069953
0.003162277660168382,0.0031995346131471784,0.9077527884439569,0.8816143411597432,88,0.9898724623583085,0.9124098074563329,0.8201748282726089,0.8475815523059618,0.8369897250763677,0.14752724766731262,0.00033908404293470085
0.004641588833612781,0.002617801047120419,0.9662643993417444,0.929514275832917,72,0.9853014430101699,0.8768241704623675,0.7778384699494805,0.815684029765312,0.7983193277310925,0.1647968888282776,0.0014743084320798516
0.006812920690579613,0.002399650959860384,0.9662643993417444,0.9215789878184684,66,0.9849606014376624,0.8767391284484115,0.7724170481513644,0.811866028708134,0.7933420609687675,0.18552649021148682,0.0026883261743932962
0.010000000000000004,0.0013452588714368819,0.9736697750959956,0.9412250701302693,37,0.9805568216596614,0.8421548885552795,0.7376967247147775,0.7900845957111942,0.761182714177407,0.20621085166931152,0.009109538048505783
0.014677992676220709,0.0008362420011634672,0.9736697750959956,0.9412250701302693,23,0.9713408895138382,0.7594953148122295,0.6567095778850489,0.7339870644690173,0.6856363282011304,0.22867411375045776,0.0013424813514575362
0.02154434690031885,0.0005453752181500873,0.9647101846772719,0.8056334780770856,15,0.9653833904346695,0.7166132074374795,0.6043549894843717,0.7006607929515418,0.6356279348586272,0.2534431517124176,0.00033471756614744663
0.0316227766016838,0.0003999418266433973,0.9647101846772719,0.8056334780770856,11,0.9561298563494899,0.6575454830498136,0.5453808780684425,0.6726030739204684,0.5762959866220736,0.27894076704978943,0.0004336596466600895
0.04641588833612786,0.0002181500872600349,0.9295117937465716,0.9423106482726819,6,0.9426843542142176,0.5896282964790688,0.48042412490176284,0.6436394271272114,0.507641196013289,0.3026543855667114,0.0005840329686179757
0.0681292069057962,0.00010907504363001745,0.9870177363320534,0.9957921838373747,3,0.9008732759697005,0.43656918221391366,0.3072677777836486,0.5580952380952381,0.3096842383405998,0.32407891750335693,0.00030549734947271645
0.10000000000000002,7.271669575334496e-05,0.8976046809288718,0.970458824885678,2,0.8944098019202349,0.40349387701900735,0.26247966408544715,0.5082901554404146,0.26517096904987164,0.3461742401123047,5.161304216017015e-05
