,Percentage,Prevalence,Other_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.1689936009307737,0.2327463112803427,0.28187822571913235,4648,1.0,1.0,1.0,1.0,1.0,0.02787569724023342,0.012413452379405499
1.4677992676220687e-05,0.1433609656777196,0.2689195621132794,0.3149565091854044,3943,1.0,1.0,1.0,1.0,1.0,0.03336884826421738,0.00017590282368473709
2.1544346900318854e-05,0.13361692844677137,0.28224654926225606,0.32870754682932113,3675,1.0,1.0,1.0,1.0,1.0,0.03758714348077774,0.0002352893934585154
3.16227766016838e-05,0.09213205351948807,0.36792003807710616,0.4087144043021619,2534,0.9999999914107658,0.9999997735123227,0.9995059901920909,0.9995240361732508,0.9995240361732508,0.04329782724380493,0.00042618883890099823
4.6415888336127784e-05,0.07773414776032576,0.40932889100428366,0.44909228714765226,2138,1.0,1.0,1.0,1.0,1.0,0.04715919494628906,0.00013668877363670617
6.81292069057961e-05,0.06755381035485747,0.4424083769633508,0.47711769588912545,1858,0.9990216175050104,0.9839467051223734,0.9382232283850218,0.9495390587093644,0.9404132628543969,0.05394719913601875,0.009970290586352348
9.999999999999991e-05,0.047774869109947646,0.5435506901475489,0.5682859927094236,1314,0.997368112608709,0.9534767261920598,0.8767841823518173,0.9067540322580645,0.8807833537331702,0.05647122114896774,0.00014081867993809283
0.00014677992676220703,0.03130453752181501,0.6163731556401714,0.6164687624066121,861,0.992596458002501,0.8869355185084534,0.7894000243034676,0.8459473966720343,0.7951564076690212,0.06050076335668564,0.004420629236847162
0.0002154434690031884,0.02825043630017452,0.6653974297953356,0.6619446349298012,777,0.9907841982895501,0.8638014200701226,0.7709444982998582,0.8407325194228635,0.776325903151422,0.06559222936630249,0.0001592572807567194
0.00031622776601683783,0.018833624200116347,0.7903379343169918,0.7380535604720828,518,0.988155016507048,0.8312353378796995,0.7387714418927406,0.8200573065902579,0.7441497659906398,0.0693434402346611,0.00016977587074507028
0.00046415888336127795,0.012943571844095404,0.8733936220847216,0.8317934096076804,356,0.9858061186166034,0.7997902315144777,0.7070809805369722,0.7984633569739953,0.7123648826786185,0.07431928813457489,0.0007112916791811585
0.0006812920690579617,0.006362710878417685,0.900523560209424,0.8508680116937958,175,0.9821636820480555,0.7549438269866168,0.6634407126981061,0.7775665399239544,0.6670290839902148,0.07963406294584274,0.002475617453455925
0.0010000000000000002,0.003963059918557301,0.9305092812946216,0.8867795142021871,109,0.9795591685463204,0.7287744844168846,0.6372315225518268,0.7668221185876083,0.6390893947806774,0.08571723848581314,0.0017212574603036046
0.0014677992676220694,0.002654159394997091,0.9333650642551166,0.8313422600786805,73,0.976697330175679,0.70485148978161,0.6175713221348466,0.7534153005464481,0.6187938288920056,0.0925891324877739,0.0032045654952526093
0.0021544346900318843,0.0024360093077370566,0.9733460257020466,0.9176020500234597,67,0.9729593641437984,0.6684257489912567,0.5885012303947182,0.7414669571532316,0.5871190339275445,0.10010398924350739,0.0007163661066442728
0.003162277660168382,0.0012361838278068644,0.9857210851975249,0.9410888945031941,34,0.9643290304075556,0.6005349866458409,0.5079393717304376,0.6989708404802745,0.4989286807468626,0.1081683486700058,0.0010039935586974025
0.004641588833612781,0.0008726003490401396,0.985721085197525,0.8348522034142997,24,0.9609275905736039,0.5649214321843409,0.47471311575559166,0.6950629235237173,0.45820038289725584,0.11767028272151947,0.0007296536932699382
0.006812920690579613,0.0006544502617801048,0.9861970490242742,0.8634099685999927,18,0.9576816244688181,0.5499653911524656,0.45971218775528816,0.6774193548387096,0.4436619718309859,0.1281137466430664,2.9784609068883583e-05
0.010000000000000004,0.0004726585223967423,0.9976201808662541,0.9951817230302812,13,0.9356013315168363,0.29586655595041833,0.15794384349046942,0.3640256959314775,0.13239875389408098,0.13850274682044983,0.0007095750188454986
0.014677992676220709,0.0003272251308900524,0.9985721085197525,0.9972209189013607,9,0.9187042892763393,0.25804283653153226,0.09196346305197853,0.34444444444444444,0.05436212187637001,0.14906027913093567,0.0006423835293389857
0.02154434690031885,0.0002545084351367074,1.0,0.9996210343956401,7,0.8899135110492854,0.20344595667458337,0.026296286723143616,0.24242424242424243,0.007497656982193064,0.16074484586715698,0.0007374216802418232
0.0316227766016838,0.0002545084351367074,0.9985721085197525,0.9972209189013607,7,0.8901353795592064,0.20304880757412833,0.031061128412336624,0.2631578947368421,0.009350163627863489,0.17352017760276794,0.0008755043381825089
0.04641588833612786,0.00018179173938336242,0.9976201808662541,0.9951817230302812,5,0.8845624524682514,0.2016017249395675,0.016437712535108364,0.25,0.002839564600094652,0.18654200434684753,0.00046870371443219483
0.0681292069057962,3.635834787667248e-05,1.0,0.99996390803768,1,0.5539509472611225,0.03828884387894403,0.0,0.0,0.0,0.19845810532569885,0.00031554698944091797
0.10000000000000002,3.635834787667248e-05,1.0,0.99996390803768,1,0.5539509472611225,0.03828884387894403,0.0,0.0,0.0,0.21432065963745117,0.00012943148612976074
