,Percentage,Prevalence,Other_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.072934845840605,0.43166251556662516,0.449781780012154,2006,1.0,1.0,1.0,1.0,1.0,0.004778820555657148,0.0011973986402153969
1.4677992676220687e-05,0.07242582897033159,0.43773349937733497,0.45322542032668545,1992,1.0,1.0,1.0,1.0,1.0,0.0061188084073364735,0.0009524397319182754
2.1544346900318854e-05,0.05755526468877254,0.49595267745952676,0.5031213745096956,1583,1.0,1.0,1.0,1.0,1.0,0.007015823852270842,0.0007848813547752798
3.16227766016838e-05,0.039885107620709716,0.5753424657534246,0.5660644899913448,1097,1.0,1.0,1.0,1.0,1.0,0.00803704559803009,0.0004555611521936953
4.6415888336127784e-05,0.027595986038394416,0.6646948941469489,0.6333904204187614,759,1.0,1.0,1.0,1.0,1.0,0.009129922837018967,0.003983534872531891
6.81292069057961e-05,0.017052065154159395,0.6945828144458281,0.663241441540983,469,1.0,1.0,1.0,1.0,1.0,0.010550111532211304,0.007551921531558037
9.999999999999991e-05,0.012543630017452007,0.7898505603985057,0.7298123492256413,345,0.9999827773264948,0.9997264722101961,0.993239195638249,0.9937714107754594,0.9936166900202398,0.011737300083041191,0.0009271123562939465
0.00014677992676220703,0.008289703315881327,0.8536737235367372,0.815442977367733,228,0.9998957753057087,0.9985111208191603,0.9826758939960045,0.9844091050826318,0.9836423118865867,0.013126271776854992,0.0037503736093640327
0.0002154434690031884,0.004363001745200698,0.8085305105853051,0.746524133104985,120,0.9998124482961467,0.9970682883589312,0.9721162314925774,0.974430932335516,0.9736719115126966,0.014713091775774956,0.0035888198763132095
0.00031622776601683783,0.002981384525887144,0.8701743462017435,0.8079848258843894,82,0.9997466076894443,0.9961122504501784,0.9656863480386108,0.9682044887780549,0.967601246105919,0.016561079770326614,0.00398787809535861
0.00046415888336127795,0.002326934264107039,0.9115815691158157,0.8723274957184686,64,0.9996785081834875,0.9952188299068682,0.9660162890932604,0.9685162094763092,0.9679127725856698,0.018781837075948715,0.004457319155335426
0.0006812920690579617,0.0015997673065735892,0.9607721046077211,0.8240428705596375,44,0.9996184065568714,0.9941840425273738,0.9619085758355439,0.9641856119588913,0.9640354974311068,0.0215067770332098,0.004740462638437748
0.0010000000000000002,0.0013816172193135544,0.976961394769614,0.8925842034510064,38,0.9995813984485238,0.9937007767852132,0.9602028698361602,0.9640737269603249,0.9624200842039607,0.02493755891919136,0.004328462295234203
0.0014677992676220694,0.0010180337405468296,0.9834993773349938,0.9066626153251202,28,0.9994771336215047,0.9918777824403501,0.955788116399121,0.9588528678304239,0.9582554517133955,0.029238209128379822,0.003401529509574175
0.0021544346900318843,0.0008362420011634672,0.975093399750934,0.89724324622949,23,0.9994722660949382,0.9917737378831875,0.9551153391603536,0.9585152838427947,0.9576191960112185,0.03465251624584198,0.004057885147631168
0.003162277660168382,0.0006180919139034322,0.9831880448318805,0.7168480562768171,17,0.9993416627319394,0.9896658930404532,0.9490023309187845,0.9528861154446178,0.9518466573165031,0.041390568017959595,0.00811885204166174
0.004641588833612781,0.0005090168702734148,0.9785180572851806,0.6275620131484448,14,0.9993086506966387,0.9892035653228274,0.9461735806565433,0.9506558400999375,0.9491736825693795,0.04996884986758232,0.002451217034831643
0.006812920690579613,0.00036358347876672484,0.9900373599003736,0.6275620131484448,10,0.9989659172005868,0.983404140883364,0.9413274085944545,0.9471048513302034,0.9445918526611519,0.0609726682305336,0.002106303349137306
0.010000000000000004,0.0002181500872600349,0.9894146948941469,0.42361379665948473,6,0.9987119859648284,0.9806194358634294,0.9358637780080098,0.9448818897637795,0.9394081728511038,0.07493700087070465,0.0019565389957278967
0.014677992676220709,0.00018179173938336242,0.9968866749688667,0.13037953704215235,5,0.9981020430333379,0.9690868217060428,0.9210874433901961,0.9334811529933481,0.9254200031402103,0.09254111349582672,0.0018513540271669626
0.02154434690031885,0.00018179173938336242,0.9968866749688667,0.13037953704215235,5,0.9981020430333379,0.9690868217060428,0.9210874433901961,0.9334811529933481,0.9254200031402103,0.11449263989925385,0.0010121320374310017
0.0316227766016838,0.00018179173938336242,0.9968866749688667,0.13037953704215235,5,0.9981020430333379,0.9690868217060428,0.9210874433901961,0.9334811529933481,0.9254200031402103,0.14084851741790771,0.0009777593659237027
0.04641588833612786,0.00010907504363001745,0.9996886674968867,0.9999631696223045,3,0.9918038363172704,0.8114396959145792,0.7903344368113875,0.7623595505617977,0.8015357353809804,0.1712626814842224,0.0006040335865691304
0.0681292069057962,0.00010907504363001745,0.9996886674968867,0.9999631696223045,3,0.9918038363172704,0.8114396959145792,0.7903344368113875,0.7623595505617977,0.8015357353809804,0.20746532082557678,0.00014869391452521086
0.10000000000000002,0.00014543339150668993,0.9995330012453301,0.9999447544334568,4,0.9920154045921334,0.8238487116018698,0.7984534142050964,0.7798615118291979,0.8095238095238096,0.24921928346157074,0.0002779513015411794
