,B_cell,Mono&DC,NK,Progenitor_cells,T_cell
0,0.0005508213141516361,0.002458989279238975,1.208098003778076e-05,0.998092641703265,0.015331079631491263
1,4.1496144366336555e-07,0.0011066867937054167,0.00018679316262493062,0.0005118476839594998,0.9987828695897499
2,2.756063543061248e-06,7.827886009602128e-07,8.900802808435873e-05,9.610082142774374e-05,0.9989512467378637
3,0.004664966893354348,0.0005042658373150972,7.528277892387642e-06,0.00010989157051420079,0.9992801347114029
4,0.0006815213421809658,0.9952050248216375,3.0623264854954125e-05,0.018803835367774857,4.0937339084571725e-05
5,0.9531611527636115,0.0010565087835370537,0.0005288091351007181,0.011695252639509409,0.00416531957754862
6,3.6242294719845706e-06,0.00052459923355302,6.1053317642684995e-06,0.00011108674332984536,0.9911565569852813
7,0.0001464761276285367,0.9888999299298508,0.0010750159563589616,0.005964021476326883,8.386970915110292e-05
8,0.9964659939837459,0.001244937051899759,3.9808471689099715e-05,0.0010016329321975296,0.049553579543120646
9,5.336642249213254e-06,8.355009486261247e-07,8.401684841392104e-05,0.009007201401304435,0.9999948888083565
10,5.004017795205841e-06,0.0001204393613462737,0.0003059792313544158,0.000720294391959655,0.9971588228016965
11,0.0007026108881942771,0.0007455992167065591,1.9019491034185015e-05,0.9996354824372538,0.0004249383374144126
12,0.0009573794085782672,0.999320021308966,1.5179321822113919e-05,0.0008779422330871823,1.3908434392040137e-05
13,3.3417565703795686e-05,9.466510174268469e-05,0.0004356283501215162,0.017060842259461417,0.9999097468946367
14,0.0020004494854686914,0.9969112202910481,1.198333496480131e-05,0.0006851243829928915,0.00012284346625005216
15,0.0016864139389404322,6.713142318457404e-05,8.7252583863892e-06,0.0017403957365388347,0.9998674389448735
16,1.9003449858256615e-06,5.760065731325892e-05,8.353709500041127e-05,9.781475233681406e-05,0.9986431753060038
17,0.46442575479412884,0.01253123169541202,0.00030713917558121987,8.52435001696311e-06,0.9928406529686546
18,0.011788325502846806,0.9985125138009336,1.3636600066489472e-05,9.744979110566487e-05,0.00021305475500971107
19,0.0032513263321388448,0.017470019073931146,0.0006316493251545987,3.562159801966731e-05,0.08293484798016562
20,6.687688026818525e-05,2.590375329179655e-05,0.0001363774906679669,5.015839889671375e-05,0.996851397052386
21,0.005429852357992541,0.006240832937037613,1.1662845344203989e-05,0.0008512701575317238,0.9279189492904466
22,0.00026378158075411346,0.9973527027032272,7.42105166192224e-06,0.003927877212571786,5.026345949060699e-05
23,1.2973465568218639e-05,0.0016167572087118843,0.00037714162704167406,0.00020260246916488668,0.998202705700578
