,meanAbundance,Variance,select,prevalence,prevalence_0,prevalence_1,featureID
0,0.00083946274,0.0005175828,No selected,0.0023221859139261627,0.0022162992148796246,0.004859423811176675,RP11-34P13.7
1,0.04655591,0.029139508,No selected,0.11722172008621289,0.10520902743575629,0.40506768483165567,FO538757.2
2,0.040167976,0.022520496,No selected,0.10711256344295349,0.096184488802619,0.36896910794862897,AP006222.2
3,0.0016075332,0.000997559,No selected,0.0051310574984356535,0.0046353970507286265,0.017007983339118363,RP4-669L17.10
4,0.00033876632,0.00017295303,No selected,0.0011958562191476047,0.00099950748906336,0.005900728913571677,RP5-857K21.4
5,0.009037384,0.0060035973,No selected,0.024820969199749705,0.022554103774951473,0.07913918778202013,RP11-206L10.9
6,0.00024621468,0.0001238171,No selected,0.0006257387193214211,0.0006228814786916592,0.0006942034015966678,FAM87B
7,0.009878787,0.0072461674,No selected,0.02301327956615449,0.02114899904394936,0.06768483165567511,LINC00115
8,0.006398998,0.0040606586,No selected,0.017437252311756937,0.01523886780427036,0.07011454356126345,FAM41C
9,0.0021800494,0.0012690909,No selected,0.00692484182715706,0.005823217544977837,0.033321763276640055,SAMD11
10,0.11683192,0.07081898,No selected,0.23513870541611626,0.21470579714343657,0.7247483512669212,NOC2L
11,0.0024697462,0.0015692031,No selected,0.007467148717235626,0.006359185328968334,0.034015966678236725,KLHL17
12,0.0019075145,0.0014000772,No selected,0.004797330181464229,0.004505026508676884,0.011801457827143353,PLEKHN1
13,0.0004093024,0.00019759125,No selected,0.0016964471946047416,0.0015644465046209114,0.004859423811176675,PERM1
14,0.009377057,0.005895761,No selected,0.022540499200444968,0.021540110670104588,0.046511627906976744,RP11-54O7.17
15,0.11822984,0.10288385,No selected,0.17106306055760273,0.16526639047425906,0.3099618188129122,HES4
16,0.51194614,0.40391108,No selected,0.5509003684905791,0.5421096850827128,0.7615411315515446,ISG15
17,0.038506057,0.023732886,No selected,0.09263714106931795,0.08203204218211316,0.3467545990975356,AGRN
18,0.010012481,0.005832027,No selected,0.0316484738927901,0.026870817278442507,0.14612981603609856,C1orf159
19,0.0005964179,0.0004303378,No selected,0.0014044357922547452,0.001390619115218588,0.0017355085039916696,TTLL10
20,0.050833277,0.062834054,No selected,0.057748731140930265,0.058159747370860736,0.04790003471017008,TNFRSF18
21,0.07313182,0.08912486,No selected,0.08721407216853229,0.08794217342179216,0.06976744186046512,TNFRSF4
22,0.21287136,0.12060783,No selected,0.3540985886115553,0.3426717269751137,0.627906976744186,SDF4
23,0.010659334,0.0066266092,No selected,0.029187234930125844,0.02762406929918591,0.06664352655328011,B3GALT6
24,0.0029827242,0.0017899025,No selected,0.009038448167976084,0.008604455775415012,0.0194376952447067,FAM132A
25,0.08342327,0.04715443,No selected,0.19147604811235486,0.17827447344786626,0.5078097882679625,UBE2J2
26,0.0017494586,0.0011012095,No selected,0.005214489327678509,0.004968566213749747,0.011107254425546685,SCNN1D
27,0.020847537,0.013153194,No selected,0.05609399986094695,0.05074311208969493,0.1843110031239153,ACAP3
28,0.027686747,0.016074663,No selected,0.07946881735382048,0.0710374598024162,0.2814994793474488,PUSL1
29,0.10097716,0.060317762,No selected,0.2172286727386498,0.2003215806703943,0.6223533495314127,CPSF3L
30,0.034379233,0.017169615,No selected,0.1014948202739345,0.09278036909349016,0.3103089205137105,CPTP
31,0.014644777,0.00796551,No selected,0.047291941875825624,0.04251528232465162,0.16174939257202361,DVL1
32,0.017413313,0.013209096,No selected,0.03910171730515192,0.035822927832662166,0.1176674765706352,MXRA8
33,0.3930889,0.20679383,No selected,0.5019676006396441,0.4839933945592027,0.9326622700451233,AURKAIP1
34,0.087952025,0.058123343,No selected,0.1823541681151359,0.17301619491844597,0.4061089899340507,CCNL2
35,0.33557564,0.17882375,No selected,0.4711673503441563,0.45203812614074224,0.9295383547379382,MRPL20
36,0.0027265688,0.00260804,No selected,0.004282833901133282,0.004070458035171075,0.009371745921555015,RP4-758J18.13
37,0.0028671734,0.0015797534,No selected,0.008106792741430856,0.007923631833589247,0.012495661228740022,ANKRD65
38,0.03570179,0.024828617,No selected,0.08532295070569422,0.07856998000985022,0.24713641096841374,VWA1
39,0.0071007367,0.004554045,No selected,0.018132517555447404,0.0179476779557899,0.022561610551891705,ATAD3C
40,0.019434838,0.011844713,No selected,0.055106723214906485,0.048396442332763565,0.2158972578965637,ATAD3B
41,0.03131252,0.01525102,No selected,0.09665577417784885,0.08327780513949648,0.41721624435959737,ATAD3A
42,0.00031597164,0.00018807026,No selected,0.0010428978655357018,0.0009415650259292522,0.003471017007983339,TMEM240
43,0.28119934,0.15658507,No selected,0.4318153375512758,0.4171277921024423,0.783755640402638,SSU72
44,0.008835534,0.007710837,No selected,0.015879858165890288,0.015079526030651562,0.03505727178063173,RP5-832C2.5
45,0.0022820998,0.0014529165,No selected,0.005881943961621359,0.005605933308224933,0.012495661228740022,C1orf233
46,0.008961057,0.005970714,No selected,0.02190085517624974,0.02123591273865052,0.03783408538701839,RP11-345P4.9
47,0.044501547,0.033882447,No selected,0.09155252728916081,0.08755106179563693,0.1874349184311003,MIB2
48,0.01336677,0.011933302,No selected,0.019133699506361675,0.019251383376307326,0.016313779937521693,MMP23B
49,0.096447006,0.06891621,No selected,0.19185149134394772,0.17605817423298664,0.5702880944116626,CDK11B
50,0.00176575,0.0010022955,No selected,0.006897031217409442,0.00633021409740128,0.020479000347101702,RP11-345P4.10
51,0.041943055,0.031469233,No selected,0.08728359869290134,0.08271286612393892,0.19680666435265534,SLC35E2B
