,Percentage,Prevalence,Other_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.2557446189645142,0.1520922746781116,0.1868430037196097,7034,1.0,1.0,1.0,1.0,1.0,0.15772555768489838,1.687883741396945e-05
1.4677992676220687e-05,0.21942262943571844,0.17381974248927037,0.20935832240211316,6035,1.0,1.0,1.0,1.0,1.0,0.16045571863651276,0.00012206496467115358
2.1544346900318854e-05,0.18553664921465968,0.1968884120171674,0.23234083843956083,5103,1.0,1.0,1.0,1.0,1.0,0.1640728861093521,0.0001556980423629284
3.16227766016838e-05,0.15146887725421757,0.22371244635193133,0.2624031913173168,4166,1.0,1.0,1.0,1.0,1.0,0.16888344287872314,9.694011851024698e-07
4.6415888336127784e-05,0.11863728912158232,0.2655579399141631,0.3013962013261217,3263,1.0,1.0,1.0,1.0,1.0,0.17542119324207306,6.073023996577831e-06
6.81292069057961e-05,0.08991419429901105,0.31813304721030045,0.34297676591615606,2473,1.0,1.0,1.0,1.0,1.0,0.18434280157089233,6.359916005749255e-05
9.999999999999991e-05,0.06508144269924375,0.36829399141630903,0.3939372158631471,1790,1.0,1.0,1.0,1.0,1.0,0.19661451876163483,3.6577497667167336e-05
0.00014677992676220703,0.0443935427574171,0.4415236051502146,0.4545291189736034,1221,1.0,1.0,1.0,1.0,1.0,0.2135600596666336,0.00023697344295214862
0.0002154434690031884,0.028504944735311226,0.5139484978540773,0.5224614112953945,784,1.0,1.0,1.0,1.0,1.0,0.2368479073047638,0.00019827114010695368
0.00031622776601683783,0.018651832460732983,0.6072961373390557,0.5758027708396974,513,0.9993283074013609,0.9851731474021964,0.9393774763642546,0.9552486187845304,0.9412084921066958,0.26863008737564087,0.00021428748732432723
0.00046415888336127795,0.011707388016288539,0.6515557939914163,0.5977790156511114,322,0.9984624826565128,0.9717720592902235,0.9160117220284557,0.9414084507042253,0.9183841714756801,0.31130802631378174,0.0001910371211124584
0.0006812920690579617,0.0068717277486911,0.7070815450643777,0.6405635118865789,189,0.9973411087477037,0.9593755518456005,0.9061110163971787,0.9352640545144804,0.9086896551724137,0.367295503616333,0.00017941581609193236
0.0010000000000000002,0.004290285049447353,0.758851931330472,0.6287128712871286,118,0.9969364852213939,0.9481862713541857,0.8959618019936044,0.9314910765687968,0.8986392668703138,0.4382219910621643,0.00019271302153356373
0.0014677992676220694,0.0031995346131471784,0.7843347639484979,0.6090815978149539,88,0.9948426382444916,0.9304587750549341,0.8803833858073342,0.9203488372093023,0.8833705357142857,0.5234490633010864,0.00018505632760934532
0.0021544346900318843,0.0024360093077370566,0.8079399141630901,0.6265655603672889,67,0.9933535912769672,0.9190862510550197,0.8694534070425504,0.9122293739028672,0.8726560313462076,0.6172468662261963,0.00018215806630905718
0.003162277660168382,0.0021451425247236765,0.8546137339055794,0.6857558714129126,59,0.991777706372555,0.9085327099965899,0.8632055336518899,0.9141835518474374,0.8661773009599096,0.6581356525421143,0.0001333533728029579
0.004641588833612781,0.0014543339150668994,0.8151824034334765,0.5865033871808234,40,0.9909804033922941,0.9009606010591444,0.8542932968103715,0.9037433155080213,0.8576261629546095,0.663920521736145,0.0004661218845285475
0.006812920690579613,0.0010907504363001745,0.8055257510729614,0.5359921654597402,30,0.9906159501238673,0.89626657831263,0.8476624533302223,0.8991044776119403,0.851087877931619,0.6678657531738281,0.00044790160609409213
0.010000000000000004,0.0007271669575334497,0.8583690987124464,0.46213006055596484,20,0.9882735237685691,0.8856340246578976,0.831549112421563,0.8905775075987842,0.8349957252778568,0.6720413565635681,0.00044912664452567697
0.014677992676220709,0.0003999418266433973,0.7607296137339056,0.4245745808700652,11,0.9867229151819321,0.8800641891471881,0.829518214348902,0.8882138517618469,0.833048433048433,0.6761298775672913,0.0003186245448887348
0.02154434690031885,0.00014543339150668993,0.9329399141630901,0.30658029505309875,4,0.979204213213202,0.8471697886662849,0.7979038446237205,0.8777991042866283,0.8007003209804494,0.6799100041389465,0.0003701761015690863
0.0316227766016838,7.271669575334496e-05,0.8454935622317596,0.11469695063880253,2,0.9620262608795171,0.7148797097073379,0.6335806828233523,0.7778649921507065,0.6316124920331422,0.6841893196105957,0.00035667381598614156
0.04641588833612786,7.271669575334496e-05,0.8454935622317596,0.11469695063880253,2,0.9620262608795171,0.7148797097073379,0.6335806828233523,0.7778649921507065,0.6316124920331422,0.688178300857544,0.0003490311501082033
0.0681292069057962,3.635834787667248e-05,0.9377682403433476,0.12222601570501877,1,0.9474456188988347,0.6104863814322672,0.5175186390211574,0.6875,0.511455525606469,0.6917622685432434,0.0002792626619338989
0.10000000000000002,0.0,0.0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.6931474208831787,0.0
