Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history,log_lambda_range
0.013671655226735682,0.7456521739130435,0.7444494789306751,243,0.9999596589469579,0.999636521,0.9970320707507903,0.9981884057971014,0.9972850678733032,0.001251486,0.020662047,-11.51292546
0.010352199842466525,0.738768116,0.7383325781603987,184,0.9999728003506004,0.9997408476870377,0.9970320707507903,0.9981884057971014,0.9972850678733032,0.001650922,0.021397667,-11.12916128
0.007651626,0.738768116,0.7383325781603987,136,0.9999871642103957,0.9998652550926728,0.9970320707507903,0.9981884057971014,0.9972850678733032,0.00216638,0.024330718,-10.7453971
0.006920221,0.7576086956521739,0.7571363842319891,123,0.9999948045613506,0.9999442403587002,0.9970320707507903,0.9981884057971014,0.9972850678733032,0.002867479,0.019875102,-10.36163292
0.005288624,0.7706521739130434,0.771635705,94,0.999993888,0.9999342034080723,0.9970320707507903,0.9981884057971014,0.9972850678733032,0.003748209,0.013042380101978779,-9.977868736
0.004275909,0.7842391304347827,0.7859084730403263,76,0.9999686745610847,0.9996826699897303,0.9970320707507903,0.9981884057971014,0.9972850678733032,0.004897252,0.010480239056050777,-9.594104554
0.003431979,0.8061594202898551,0.8074309016764839,61,0.9999044956130633,0.9988668965205971,0.9960408143605848,0.9981851179673321,0.9963768115942029,0.006299103,0.020679997,-9.210340372
0.002813098,0.8523550724637681,0.8513819664703217,50,0.9999081629815217,0.9989936387596444,0.9950489058897928,0.9981818181818182,0.9954669084315503,0.008083356,0.008823945,-8.82657619
0.002250478,0.8715579710144927,0.8681468056184867,40,0.9997247945586032,0.9970673552982603,0.9930855225528641,0.9927797833935018,0.9936766034327009,0.010278436355292797,0.011213439516723156,-8.442812008
0.002081692,0.8771739130434782,0.8767557770729497,37,0.9993705878883322,0.9933029834319007,0.9861833148304677,0.9855855855855856,0.9873646209386282,0.013162299990653992,0.005655762,-8.059047825
0.001744121,0.8771739130434782,0.8767557770729497,31,0.9999749396488679,0.9997304984620141,0.9911098181605791,0.9909747292418772,0.991869919,0.016874598,0.005969841,-7.675283643
0.001631597,0.8905797101449275,0.8894426823742637,29,0.9999804407015553,0.999793786,0.9920907086914493,0.9927667269439421,0.9927667269439421,0.021669283509254456,0.004131248,-7.291519461
0.001462811,0.8960144927536231,0.894426824,26,0.9999367378940931,0.9993814595170549,0.9911098181605791,0.9909747292418772,0.991869919,0.028069395571947098,0.001989437,-6.907755279
0.001125239,0.8960144927536231,0.894426824,20,0.999958131,0.9995794415514999,0.992079667,0.9945553539019963,0.9927536231884059,0.036271036,0.001558909,-6.523991097
0.001068977,0.894927536,0.8939737199818758,19,0.9999621038592635,0.9996165011542115,0.992079667,0.9945553539019963,0.9927536231884059,0.046950404,0.003996429,-6.140226915
0.000843929,0.894927536,0.8939737199818758,15,0.9999245133325653,0.9992591700938879,0.9861587402100364,0.9873417721518988,0.9873417721518988,0.060358729,0.004804115,-5.756462732
0.000731405,0.8992753623188405,0.8962392387856819,13,0.9996864399968094,0.9980149405944049,0.9910747086145084,0.9981684981684982,0.991810737,0.077941105,0.001363649,-5.37269855
0.000731405,0.8992753623188405,0.8962392387856819,13,0.9993242873615453,0.9962446172731609,0.9860933457698065,0.996316759,0.9872262773722628,0.1001240536570549,0.002139235,-4.988934368
0.000506358,0.9695652173913043,0.966017218,9,0.9993508757828685,0.9961153457421564,0.9801464634065241,0.9872029250457038,0.9818181818181818,0.12870877981185913,0.001236648,-4.605170186
0.000506358,0.9746376811594203,0.9764386044404169,9,0.9990024757793234,0.9955079186461592,0.9851083639404586,0.9926739926739927,0.986351228,0.16438746452331543,0.00099383,-4.221406004
0.000337572,0.9858695652173913,0.9866334390575442,6,0.9982674740174585,0.9935461737616732,0.9730702891599912,0.9906716417910447,0.9752066115702479,0.20827293395996094,0.000643562,-3.837641822
0.000337572,0.9858695652173913,0.9866334390575442,6,0.9982674740174585,0.9935461737616732,0.9730702891599912,0.9906716417910447,0.9752066115702479,0.26019009947776794,0.00195712,-3.453877639
0.00028131,0.9971014492753624,0.9968282736746715,5,0.9967241231245612,0.9844875205902577,0.9415293505583495,0.9490909090909091,0.9465095194922939,0.31784144043922424,0.001097271,-3.070113457
0.000225048,0.9985507246376812,0.9984141368373358,4,0.9970028431273974,0.9853540817099884,0.945411502,0.9543795620437956,0.9500454132606722,0.37003692984580994,0.000611066,-2.686349275
0,0,0,0,0,0,-1,0,0,0.402546585,0.00031203,-2.302585093
