lambda,Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history,log_lambda_range
1e-05,0.08837024868294341,0.5020096463022508,0.5028305028305028,1560,0.9996019295663828,0.9973403629168122,0.979040844959004,0.9875,0.9813664596273292,0.006165958940982819,0.01385356206446886,-11.512925464970229
1.5e-05,0.09046620970939784,0.5447481243301179,0.5454545454545454,1597,0.9996303631687841,0.9974412765572305,0.9774865029939206,0.9861111111111112,0.9799861973775018,0.007888445630669594,0.0017040760722011328,-11.129161282804555
2.2e-05,0.06554126777318303,0.5809217577706324,0.5844155844155844,1157,0.9996215224688778,0.9974992154985032,0.97985939442257,0.9848275862068966,0.982118294360385,0.010004302486777306,0.0011239009909331799,-10.745397100638879
3.2e-05,0.06338865915141902,0.6227224008574491,0.6253746253746254,1119,0.9995371774130153,0.9968612065876055,0.975295903871465,0.9767441860465116,0.9780821917808218,0.012794118374586105,0.00795502308756113,-10.361632918473205
4.6e-05,0.05608111935648332,0.6379957127545552,0.6378621378621379,990,0.9994583279273648,0.996151108687574,0.9736888833496558,0.9779917469050894,0.9766483516483515,0.016114478930830956,0.0013772131642326713,-9.977868736307531
6.8e-05,0.037783946071489265,0.6966773847802786,0.7002997002997003,667,0.9990851070286193,0.9934140145784314,0.9667429277841914,0.9711538461538461,0.970487302676733,0.019314978271722794,0.004251350183039904,-9.594104554141857
0.0001,0.02611454143771597,0.734994640943194,0.7359307359307359,461,0.9984433200029914,0.988915343827822,0.9574618009068114,0.9629120879120879,0.9622512010981469,0.023129435256123543,0.004050436429679394,-9.210340371976184
0.000147,0.021129553050473007,0.8051982851018221,0.8065268065268065,373,0.996390246653138,0.9734100598416197,0.9375047028797089,0.9426229508196722,0.944558521560575,0.02780972421169281,0.0036789977457374334,-8.826576189810508
0.000215,0.010763043108820031,0.8282422293676313,0.8291708291708291,190,0.9989254965546359,0.994002365343129,0.9592178323771048,0.9592391304347826,0.9638225255972696,0.032652147114276886,0.0032059655059129,-8.442812007644834
0.000316,0.006627768651220755,0.8668274383708467,0.8628038628038628,117,0.9988903726928462,0.9942692956412286,0.9628132796426283,0.9696551724137931,0.9669876203576341,0.03859053552150726,0.006013656500726938,-8.05904782547916
0.000464,0.004588455220075908,0.8670953912111469,0.8651348651348651,81,0.9983943377467541,0.9940379955975743,0.9643259038079007,0.9723374827109267,0.9683195592286502,0.04546622186899185,0.006858674343675375,-7.6752836433134854
0.000681,0.0035121509091939045,0.8870578778135048,0.8891108891108891,62,0.998728611778345,0.9923648961889961,0.9534173411541026,0.9639389736477115,0.9586206896551724,0.053348358720541,0.0030692110303789377,-7.291519461147811
0.001,0.0029456749560981136,0.9016613076098607,0.9009324009324009,52,0.9983804793523064,0.991704080638089,0.9520762383729863,0.9574759945130316,0.9574759945130316,0.06256014108657837,0.0038398902397602797,-6.907755278982137
0.001468,0.002152608621764006,0.9192122186495177,0.9180819180819181,38,0.9971310734114994,0.9904465942555668,0.9573221762540282,0.9667590027700831,0.9620951068228808,0.07367459684610367,0.004707202780991793,-6.523991096816463
0.002154,0.004701750410695066,0.9997320471596999,0.9996669996669997,83,0.9978411966580243,0.9904558167698134,0.9582599495506654,0.9629629629629629,0.9629629629629629,0.08887115120887756,0.02750600129365921,-6.140226914650788
0.003162,0.0018693706452161105,0.9456055734190782,0.9460539460539461,33,0.9963581095142896,0.9891141400341065,0.9519657520553927,0.96,0.9573590096286106,0.10474511235952377,0.002751838183030486,-5.756462732485113
0.004642,0.0019260182405256897,0.9711950696677385,0.9721944721944722,34,0.9945512616037172,0.9799466494937428,0.9261667669819709,0.9294436906377205,0.9345156889495225,0.12525731325149536,0.001969503238797188,-5.3726985503194395
0.006813,0.0014161898827394776,0.9456055734190782,0.9460539460539461,25,0.9945135094257391,0.9784249476432244,0.9261667669819709,0.9294436906377205,0.9345156889495225,0.1502438485622406,0.006056670099496841,-4.988934368153766
0.01,0.0011329519061915822,0.942256162915327,0.9412254412254413,20,0.9939331294237846,0.974499560449731,0.915288121368481,0.9210884353741496,0.924863387978142,0.1803998351097107,0.000952002767007798,-4.605170185988091
0.014678,0.0005664759530957911,0.9711950696677385,0.9721944721944722,10,0.9917511491117844,0.9469764259891285,0.8649761873742964,0.8784153005464481,0.8802190280629706,0.21584975719451904,0.0015772458864375949,-4.221406003822416
0.021544,0.0007930663343341075,0.9983922829581994,0.9981684981684982,14,0.9920115913522664,0.9421470682489915,0.8618956384559066,0.8704453441295547,0.8775510204081632,0.25951218605041504,7.042886863928288e-05,-3.8376418216567423
0.031623,0.00039653316716705377,0.9734726688102894,0.974025974025974,7,0.9888382579615879,0.9111574348798795,0.8386190272040612,0.8471849865951743,0.8569491525423729,0.30964916944503784,0.000278142630122602,-3.4538776394910684
0.046416,0.001076304310882003,1.0,1.0,19,0.9891656027959549,0.9137897645780126,0.8382060330794509,0.8490566037735849,0.8565601631543169,0.3672577142715454,0.03481351584196091,-3.0701134573253928
0.068129,0.00011329519061915821,0.9867363344051447,0.987012987012987,2,0.944011728024708,0.6456920625937923,0.6445721991771891,0.6510480887792849,0.6857142857142857,0.41329795122146606,0.00022587200510315597,-2.686349275159719
0.1,0.003568798504503484,1.0,1.0,63,0.9284390740776582,0.6119410501454364,0.5115236686900311,0.6615087040618955,0.5489566613162119,0.4647868871688843,0.014256428927183151,-2.3025850929940455
