,Accuracy,Precision,F1-score,ROC-AUC
ASDC,0.9998392712997873,0.8873015873015874,0.8060791826309067,0.9992565067999266
B_intermediate,0.9878650359674465,0.6565977836567098,0.5049470427679205,0.9895699048461994
B_memory,0.9941334254673263,0.8772771205400085,0.8513155859955178,0.9980519698202871
B_naive,0.9957036136024578,0.951071906864948,0.9551664214120674,0.9994259556205165
CD14_Mono,0.9872159387864148,0.9679865158883191,0.9759819559322842,0.9983205044519504
CD16_Mono,0.9933792475044164,0.9040878138740691,0.9167203535241963,0.9986895907577467
CD4_CTL,0.9953574331780146,0.831606928233534,0.7665567822674508,0.9963727793594807
CD4_Naive,0.9518125832973263,0.7971357607267054,0.7748814691848062,0.9800863929894355
CD4_Proliferating,0.9995178167655558,0.6792820512820513,0.6097584157047072,0.9977136814195322
CD4_TCM,0.9533270851071253,0.7791794354773925,0.7340140701811443,0.9766461943995989
CD4_TEM,0.9755013452691124,0.6502243503026032,0.2621926473476559,0.9519418472744932
CD8_Naive,0.9864741387683585,0.9153239102336899,0.8965077896554456,0.9942626147781499
CD8_Proliferating,0.9995178154279986,0.5859584859584859,0.49182567292149837,0.9981371291286119
CD8_TCM,0.982078831612807,0.0,0.0,0.7621729884025376
CD8_TEM,0.9789631892580986,0.8724900234721892,0.8514702686800388,0.9912643991174426
Doublet,0.9966123470572199,0.7583870967741935,0.22334239811520645,0.8922477573279302
Eryth,0.9998145446452573,0.882077922077922,0.8095986562879602,0.9923702098594998
HSPC,0.9979909007057806,0.6376164549304295,0.23503033797325865,0.9285996666118697
ILC,0.9992087239344125,0.9,0.07248677248677249,0.9622832731772843
MAIT,0.9928785094862457,0.8177149563995254,0.7841007064257011,0.9957774311105754
NK,0.9866657478413433,0.9309174979344427,0.9375904959035435,0.998086709835461
NK_CD56bright,0.9974963509912582,0.8232569725783438,0.7724507099577352,0.9981547832501685
NK_Proliferating,0.9985719939977773,0.8382561049097108,0.7743965086734972,0.9975061327800703
Plasmablast,0.999826907685903,0.9915481779566286,0.9602630653738128,0.9995161517286564
Platelet,0.9971068937144689,0.8822002506130604,0.9003167812237646,0.9796661254029215
Treg,0.9840879326267424,0.0,0.0,0.8856568892721783
cDC1,0.9999196361275926,0.9580392156862745,0.9580469511007207,0.9995604713588246
cDC2,0.9969956227181467,0.9102055789054123,0.9019008419289675,0.9986758778024105
dnT,0.9981887179546913,0.8174720628209,0.3859226688454012,0.9609818522633834
gdT,0.9912526797384063,0.8375503446142334,0.7983559926247776,0.9867379618006558
pDC,0.9998578176760118,0.9816605255209907,0.9867231788569223,0.9999710717117031
