True,B,CD4_T,CD8_T,DC,Mono,NK,other,other_T
B,13771,1,4,1,7,3,12,1
CD4_T,0,40427,354,0,2,10,12,196
CD8_T,2,1103,23947,0,0,91,3,323
DC,0,0,0,3398,187,0,3,1
Mono,6,17,7,58,48855,10,56,1
NK,1,15,97,0,0,18502,0,49
other,27,155,56,9,617,35,2494,49
other_T,2,314,530,0,1,175,2,5765
