True,B,CD4_T,CD8_T,DC,Mono,NK,other,other_T
B,13785,0,2,0,9,2,1,1
CD4_T,2,40424,352,0,4,8,11,200
CD8_T,0,1079,23890,0,0,87,4,409
DC,0,0,0,3436,149,0,4,0
Mono,4,8,5,65,48838,10,80,0
NK,0,15,93,0,2,18473,0,81
other,19,166,58,9,547,46,2572,25
other_T,0,239,446,0,1,134,2,5967
