names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000271503,81.29673,13.405239,0.0,0.0
ENSG00000145649,79.98098,4.46016,0.0,0.0
ENSG00000008517,76.94557,6.8418922,0.0,0.0
ENSG00000111796,76.88167,10.318408,0.0,0.0
ENSG00000113088,76.12855,6.015501,0.0,0.0
ENSG00000105374,75.83478,10.136634,0.0,0.0
ENSG00000158050,74.26467,6.001418,0.0,0.0
ENSG00000167286,71.93168,3.433704,0.0,0.0
ENSG00000188042,71.67654,5.001454,0.0,0.0
ENSG00000077984,71.46974,3.262896,0.0,0.0
ENSG00000145220,70.702286,2.930159,0.0,0.0
ENSG00000227191,69.328896,3.8869536,0.0,0.0
ENSG00000054654,67.695076,3.6983457,0.0,0.0
ENSG00000139187,66.66119,3.6892202,0.0,0.0
ENSG00000198851,66.12455,2.6599236,0.0,0.0
ENSG00000160654,65.180984,2.821738,0.0,0.0
ENSG00000168685,63.13033,8.146752,0.0,0.0
ENSG00000172543,62.984646,2.1927092,0.0,0.0
ENSG00000211689,60.63206,4.708219,0.0,0.0
ENSG00000211829,60.397606,6.5001597,0.0,0.0
ENSG00000069667,59.17625,2.3358002,0.0,0.0
ENSG00000204475,58.2731,3.1734898,0.0,0.0
ENSG00000185697,56.965824,2.4191728,0.0,0.0
ENSG00000110848,56.283222,2.5652523,0.0,0.0
ENSG00000180644,55.963985,1.5847051,0.0,0.0
ENSG00000107742,55.69141,2.1042397,0.0,0.0
ENSG00000197540,55.49444,1.9106264,0.0,0.0
ENSG00000235576,51.527264,2.4983072,0.0,0.0
ENSG00000078304,49.54914,2.0367098,0.0,0.0
ENSG00000121966,48.52276,3.1985528,0.0,0.0
ENSG00000152518,48.250923,5.8035483,0.0,0.0
ENSG00000145675,46.332138,2.2728288,0.0,0.0
ENSG00000164483,44.475117,1.6510609,0.0,0.0
ENSG00000115523,44.0698,8.912057,0.0,0.0
ENSG00000171476,42.868076,1.4432658,0.0,0.0
ENSG00000126264,41.889526,2.277294,0.0,0.0
ENSG00000134539,41.48005,1.866598,0.0,0.0
ENSG00000182866,40.183323,1.3122783,0.0,0.0
ENSG00000007264,39.762135,1.5921551,0.0,0.0
ENSG00000134954,39.081203,1.4904109,0.0,0.0
