names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000101336,253.63802,6.655019,0.0,0.0
ENSG00000204577,253.31407,6.762419,0.0,0.0
ENSG00000277443,253.28607,13.474029,0.0,0.0
ENSG00000136167,253.2318,11.925414,0.0,0.0
ENSG00000142669,252.35927,18.97228,0.0,0.0
ENSG00000141480,252.35127,5.2088404,0.0,0.0
ENSG00000261371,252.27873,6.205665,0.0,0.0
ENSG00000051523,252.2112,15.242108,0.0,0.0
ENSG00000076944,252.13306,6.2755947,0.0,0.0
ENSG00000143933,251.97011,9.730589,0.0,0.0
ENSG00000142347,251.0461,5.8035913,0.0,0.0
ENSG00000197405,250.80902,8.610238,0.0,0.0
ENSG00000139278,250.13382,5.636131,0.0,0.0
ENSG00000241399,249.83125,6.342829,0.0,0.0
ENSG00000130429,248.90271,7.6288557,0.0,0.0
ENSG00000171051,248.89595,8.063145,0.0,0.0
ENSG00000111229,247.95041,11.7911415,0.0,0.0
ENSG00000115271,247.61626,5.822172,0.0,0.0
ENSG00000143669,247.2364,5.685436,0.0,0.0
ENSG00000088832,247.17662,5.3612237,0.0,0.0
ENSG00000155465,246.64919,6.7634845,0.0,0.0
ENSG00000178695,246.06253,6.767785,0.0,0.0
ENSG00000197747,244.93808,14.0181055,0.0,0.0
ENSG00000067560,244.85338,6.685265,0.0,0.0
ENSG00000124172,244.7971,14.629783,0.0,0.0
ENSG00000204287,244.74358,29.417364,0.0,0.0
ENSG00000132334,244.61964,6.2962074,0.0,0.0
ENSG00000121316,244.15463,7.213491,0.0,0.0
ENSG00000103811,243.4111,5.2411265,0.0,0.0
ENSG00000138071,242.8144,6.6567,0.0,0.0
ENSG00000093072,242.50128,5.5567045,0.0,0.0
ENSG00000198804,242.41934,109.27459,0.0,0.0
ENSG00000126883,242.24934,5.287606,0.0,0.0
ENSG00000204397,242.15648,5.687772,0.0,0.0
ENSG00000120708,242.05092,6.004797,0.0,0.0
ENSG00000143226,241.431,6.388723,0.0,0.0
ENSG00000026508,241.33698,8.141174,0.0,0.0
ENSG00000124831,240.12025,7.0972595,0.0,0.0
ENSG00000119900,239.90845,5.4779973,0.0,0.0
ENSG00000028277,239.606,6.535851,0.0,0.0
ENSG00000143110,239.19408,5.454394,0.0,0.0
ENSG00000198763,239.00949,34.032547,0.0,0.0
ENSG00000196126,238.51305,13.607669,0.0,0.0
ENSG00000188906,238.17911,6.5448728,0.0,0.0
ENSG00000011422,238.11002,8.187892,0.0,0.0
ENSG00000100906,237.91476,49.13683,0.0,0.0
ENSG00000198888,237.70547,42.708755,0.0,0.0
ENSG00000186407,236.89699,7.4948983,0.0,0.0
ENSG00000021355,236.52568,6.257255,0.0,0.0
ENSG00000112531,236.1996,5.0398793,0.0,0.0
ENSG00000019582,236.15517,25.993431,0.0,0.0
ENSG00000140575,235.9535,5.818041,0.0,0.0
ENSG00000166927,235.9002,8.33289,0.0,0.0
ENSG00000177674,235.4949,4.8518815,0.0,0.0
ENSG00000107372,234.92867,5.627355,0.0,0.0
ENSG00000120594,234.66377,5.9875965,0.0,0.0
ENSG00000257764,234.36714,9.812704,0.0,0.0
ENSG00000155090,234.25359,5.7333126,0.0,0.0
ENSG00000159128,233.91167,5.606934,0.0,0.0
ENSG00000116741,233.74216,7.7982445,0.0,0.0
ENSG00000101347,233.25119,6.26942,0.0,0.0
ENSG00000144802,232.99445,12.761138,0.0,0.0
ENSG00000162704,232.96843,6.8213,0.0,0.0
ENSG00000111275,232.81728,5.4569874,0.0,0.0
ENSG00000042753,232.70735,4.4020634,0.0,0.0
ENSG00000186350,232.69171,5.806462,0.0,0.0
ENSG00000102265,232.385,5.983783,0.0,0.0
ENSG00000125810,232.25035,7.180014,0.0,0.0
ENSG00000169230,231.5849,6.206883,0.0,0.0
ENSG00000171223,231.36493,14.267292,0.0,0.0
ENSG00000158517,231.26411,7.1020617,0.0,0.0
ENSG00000168461,231.05675,5.4535336,0.0,0.0
ENSG00000140264,230.96074,11.174879,0.0,0.0
ENSG00000137752,230.84828,4.7808013,0.0,0.0
ENSG00000133318,230.67696,4.594933,0.0,0.0
ENSG00000131171,229.92682,5.2492256,0.0,0.0
ENSG00000115355,229.64705,5.072561,0.0,0.0
ENSG00000131669,228.34009,6.8537016,0.0,0.0
ENSG00000125753,227.68114,4.8568783,0.0,0.0
ENSG00000103363,226.06575,5.2623105,0.0,0.0
ENSG00000118508,225.94302,4.8928795,0.0,0.0
ENSG00000175489,225.88937,6.0947604,0.0,0.0
ENSG00000188186,225.77753,4.4755535,0.0,0.0
ENSG00000136156,225.26709,9.4835615,0.0,0.0
ENSG00000135821,225.16272,5.6410537,0.0,0.0
ENSG00000153113,225.12822,6.77736,0.0,0.0
ENSG00000137161,224.69713,4.0859547,0.0,0.0
ENSG00000130775,224.5631,4.572607,0.0,0.0
ENSG00000266412,224.2991,4.4114494,0.0,0.0
ENSG00000106780,223.84706,5.5976477,0.0,0.0
ENSG00000135363,223.53403,5.1851163,0.0,0.0
ENSG00000214212,223.21886,5.732858,0.0,0.0
ENSG00000185650,222.93463,8.190813,0.0,0.0
ENSG00000167703,222.22345,6.1450515,0.0,0.0
ENSG00000177105,222.07314,4.2993217,0.0,0.0
ENSG00000159840,221.71686,4.3116994,0.0,0.0
ENSG00000142227,221.13002,8.261753,0.0,0.0
ENSG00000213719,221.06842,6.595581,0.0,0.0
ENSG00000145416,220.6751,4.43669,0.0,0.0
ENSG00000070756,220.48183,12.063816,0.0,0.0
ENSG00000124942,220.33032,7.2777042,0.0,0.0
ENSG00000137331,220.31769,9.92887,0.0,0.0
ENSG00000120742,220.2276,5.412345,0.0,0.0
ENSG00000115956,220.08401,12.076504,0.0,0.0
ENSG00000183283,218.73553,4.1368117,0.0,0.0
ENSG00000121064,218.65009,4.7425013,0.0,0.0
ENSG00000067225,218.30597,4.488166,0.0,0.0
ENSG00000132205,218.03499,5.5485873,0.0,0.0
ENSG00000184007,218.02133,6.232424,0.0,0.0
ENSG00000142089,217.6307,9.215658,0.0,0.0
ENSG00000173221,217.6078,4.3523993,0.0,0.0
ENSG00000118564,217.43709,4.382626,0.0,0.0
ENSG00000092841,217.4131,9.25527,0.0,0.0
ENSG00000141505,216.8866,6.599219,0.0,0.0
ENSG00000204103,216.46246,8.650105,0.0,0.0
ENSG00000158825,216.26445,7.143568,0.0,0.0
ENSG00000027697,216.03021,4.482716,0.0,0.0
ENSG00000142634,215.53763,5.272902,0.0,0.0
ENSG00000177663,215.4827,4.6681004,0.0,0.0
ENSG00000005020,215.47217,4.258663,0.0,0.0
ENSG00000174021,215.46817,4.366699,0.0,0.0
ENSG00000177885,215.2323,4.4431667,0.0,0.0
ENSG00000015475,214.97266,4.785695,0.0,0.0
ENSG00000111144,214.89897,4.871451,0.0,0.0
ENSG00000187116,214.6301,6.5167403,0.0,0.0
ENSG00000131238,214.54738,4.3899035,0.0,0.0
ENSG00000150977,214.12015,4.438109,0.0,0.0
ENSG00000156273,213.96867,5.0116796,0.0,0.0
ENSG00000123349,213.16588,11.008054,0.0,0.0
ENSG00000121858,212.75883,5.4731965,0.0,0.0
ENSG00000034510,212.44748,39.731857,0.0,0.0
