names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000105374,207.33325,42.495472,0.0,0.0
ENSG00000180644,206.00238,11.804017,0.0,0.0
ENSG00000115523,204.20767,70.52909,0.0,0.0
ENSG00000134539,203.93991,9.376831,0.0,0.0
ENSG00000150045,202.33612,8.7143545,0.0,0.0
ENSG00000077984,198.80005,10.188693,0.0,0.0
ENSG00000100453,198.68903,13.679703,0.0,0.0
ENSG00000145649,197.00851,12.150841,0.0,0.0
ENSG00000198821,190.22415,6.9364038,0.0,0.0
ENSG00000172543,188.96597,7.3949714,0.0,0.0
ENSG00000137441,181.79736,10.644232,0.0,0.0
ENSG00000159674,174.2217,8.557135,0.0,0.0
ENSG00000171476,169.9797,5.897596,0.0,0.0
ENSG00000100385,168.71797,6.225186,0.0,0.0
ENSG00000203747,162.45192,3.729175,0.0,0.0
ENSG00000197540,161.51094,4.7409587,0.0,0.0
ENSG00000211829,160.83444,5.4452944,0.0,0.0
ENSG00000169583,159.63919,6.4293685,0.0,0.0
ENSG00000173762,159.2016,5.026225,0.0,0.0
ENSG00000100450,151.84047,5.8566904,0.0,0.0
ENSG00000111796,147.18456,6.0422077,0.0,0.0
ENSG00000129968,144.87718,3.973619,0.0,0.0
ENSG00000205336,144.85593,5.047418,0.0,0.0
ENSG00000271503,141.62662,17.843954,0.0,0.0
ENSG00000188042,141.16956,5.8020854,0.0,0.0
ENSG00000163564,140.74402,4.0026064,0.0,0.0
ENSG00000164483,137.02916,3.6590452,0.0,0.0
ENSG00000007264,133.87653,4.174447,0.0,0.0
ENSG00000131018,132.85814,3.79946,0.0,0.0
ENSG00000020633,131.47208,3.3362176,0.0,0.0
ENSG00000054654,131.39398,4.9242964,0.0,0.0
ENSG00000185697,126.77117,3.6250637,0.0,0.0
ENSG00000180739,123.64963,4.633844,0.0,0.0
ENSG00000162434,119.13277,4.073739,0.0,0.0
ENSG00000148019,117.34755,3.7642593,0.0,0.0
ENSG00000275302,116.71889,-4.1628036,0.0,0.0
ENSG00000116667,115.62711,3.9644194,0.0,0.0
ENSG00000111670,114.86291,3.1451542,0.0,0.0
ENSG00000142634,112.35554,3.562133,0.0,0.0
ENSG00000101474,111.79428,3.0707493,0.0,0.0
ENSG00000074966,111.1471,3.1046612,0.0,0.0
ENSG00000133321,109.400375,2.6737192,0.0,0.0
ENSG00000187118,107.2059,4.306863,0.0,0.0
ENSG00000073861,105.176895,3.972335,0.0,0.0
ENSG00000235162,104.567635,2.3821623,0.0,0.0
ENSG00000185201,103.04672,3.5355196,0.0,0.0
ENSG00000088179,102.82453,2.6160471,0.0,0.0
ENSG00000136213,101.42641,2.8188574,0.0,0.0
ENSG00000145287,99.79016,2.3836658,0.0,0.0
ENSG00000126264,98.86579,4.080955,0.0,0.0
ENSG00000150687,98.1188,4.395439,0.0,0.0
ENSG00000168329,97.83052,2.8742666,0.0,0.0
ENSG00000164674,97.12166,2.8620307,0.0,0.0
ENSG00000168229,96.80451,4.2593827,0.0,0.0
ENSG00000196139,96.36378,5.448152,0.0,0.0
ENSG00000204475,96.29228,3.1472907,0.0,0.0
ENSG00000115085,95.94643,2.5723708,0.0,0.0
ENSG00000198668,95.39515,5.2881494,0.0,0.0
ENSG00000069702,94.361374,3.368737,0.0,0.0
ENSG00000239713,94.329636,2.384482,0.0,0.0
ENSG00000114126,93.93466,2.718746,0.0,0.0
ENSG00000189067,92.88052,2.142201,0.0,0.0
ENSG00000075234,92.70051,3.9024491,0.0,0.0
ENSG00000163453,90.95551,3.2689385,0.0,0.0
ENSG00000198574,90.07893,5.8332524,0.0,0.0
