names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000105369,191.5213,15.047579,0.0,0.0
ENSG00000156738,187.63896,17.61689,0.0,0.0
ENSG00000153064,179.53308,11.395077,0.0,0.0
ENSG00000116191,179.22664,10.07882,0.0,0.0
ENSG00000007312,174.4684,8.653529,0.0,0.0
ENSG00000159958,160.05968,8.649718,0.0,0.0
ENSG00000104894,159.02135,12.2758665,0.0,0.0
ENSG00000247982,155.04779,8.72801,0.0,0.0
ENSG00000211899,154.73277,40.46637,0.0,0.0
ENSG00000196735,149.95126,5.2380176,0.0,0.0
ENSG00000019582,145.65758,36.997196,0.0,0.0
ENSG00000223865,141.41725,10.074086,0.0,0.0
ENSG00000012124,136.5431,8.189638,0.0,0.0
ENSG00000211898,135.06165,15.261052,0.0,0.0
ENSG00000211592,133.68721,188.92386,0.0,0.0
ENSG00000204287,133.65952,25.703394,0.0,0.0
ENSG00000128218,133.33705,9.971834,0.0,0.0
ENSG00000179344,133.27188,6.2537565,0.0,0.0
ENSG00000081189,129.50813,4.7326946,0.0,0.0
ENSG00000231389,128.05296,6.246196,0.0,0.0
ENSG00000133789,125.048355,4.2721424,0.0,0.0
ENSG00000144218,123.66531,5.434117,0.0,0.0
ENSG00000119866,120.01238,3.9783356,0.0,0.0
ENSG00000196126,119.76518,7.5873723,0.0,0.0
ENSG00000121966,117.13157,7.3978825,0.0,0.0
ENSG00000196092,116.39674,8.739005,0.0,0.0
ENSG00000083454,115.146416,6.0177093,0.0,0.0
ENSG00000157514,114.909454,6.592804,0.0,0.0
ENSG00000042980,114.238266,5.052743,0.0,0.0
ENSG00000227507,114.180336,10.904211,0.0,0.0
ENSG00000136573,112.73041,7.1072736,0.0,0.0
ENSG00000196628,112.64993,3.7498631,0.0,0.0
ENSG00000165209,106.47673,4.2734513,0.0,0.0
ENSG00000242574,105.27961,2.8241262,0.0,0.0
ENSG00000100721,103.84555,8.451366,0.0,0.0
ENSG00000167483,103.357605,5.8608527,0.0,0.0
ENSG00000082438,103.34579,6.468949,0.0,0.0
ENSG00000163534,101.78717,8.491667,0.0,0.0
ENSG00000133639,101.456215,11.957154,0.0,0.0
ENSG00000092820,101.10007,3.542602,0.0,0.0
ENSG00000147535,100.82999,4.8796597,0.0,0.0
ENSG00000107438,98.28464,4.1595645,0.0,0.0
ENSG00000142534,97.97529,19.434013,0.0,0.0
ENSG00000241106,97.82355,6.3926735,0.0,0.0
ENSG00000198502,97.6945,1.8617651,0.0,0.0
ENSG00000204257,97.1565,2.1123421,0.0,0.0
ENSG00000176533,96.31557,4.923315,0.0,0.0
ENSG00000023445,94.97283,2.9738946,0.0,0.0
ENSG00000083845,94.8672,12.095634,0.0,0.0
ENSG00000105640,94.35105,24.784634,0.0,0.0
ENSG00000076554,93.66578,3.885911,0.0,0.0
ENSG00000172183,93.3379,3.5267313,0.0,0.0
ENSG00000161405,92.91012,2.738286,0.0,0.0
ENSG00000079950,92.86642,2.8245983,0.0,0.0
ENSG00000211677,91.85847,76.32114,0.0,0.0
ENSG00000104921,91.7976,7.138964,0.0,0.0
ENSG00000140968,91.742035,2.2107956,0.0,0.0
ENSG00000101017,91.12823,4.0635486,0.0,0.0
ENSG00000122986,89.47087,2.977338,0.0,0.0
ENSG00000269404,89.30634,4.734161,0.0,0.0
ENSG00000162894,88.69911,2.767533,0.0,0.0
ENSG00000091490,88.58923,3.9693415,0.0,0.0
ENSG00000145416,88.21545,2.2244608,0.0,0.0
ENSG00000205056,88.08158,8.193364,0.0,0.0
ENSG00000186468,87.0692,24.6428,0.0,0.0
ENSG00000177954,86.74468,42.382965,0.0,0.0
ENSG00000138639,86.66185,3.673315,0.0,0.0
ENSG00000079263,86.577675,3.1440825,0.0,0.0
ENSG00000171604,85.4001,2.8189585,0.0,0.0
ENSG00000142541,84.682594,26.760567,0.0,0.0
ENSG00000110777,83.78536,7.4769998,0.0,0.0
ENSG00000145088,83.047356,3.5069165,0.0,0.0
ENSG00000265972,82.55517,18.763916,0.0,0.0
ENSG00000114446,81.72597,3.228728,0.0,0.0
ENSG00000169442,81.058105,7.144627,0.0,0.0
ENSG00000161016,80.193665,12.570687,0.0,0.0
ENSG00000095585,80.019165,4.9143167,0.0,0.0
ENSG00000143297,79.376175,8.543324,0.0,0.0
ENSG00000226777,78.712814,6.296274,0.0,0.0
ENSG00000205302,78.30648,1.9770494,0.0,0.0
ENSG00000272398,78.178215,8.143669,0.0,0.0
ENSG00000121895,77.98932,3.7918262,0.0,0.0
ENSG00000143799,77.847206,2.349716,0.0,0.0
