True,B,CD4_T,CD8_T,DC,Mono,NK,other,other_T
B,13798,0,1,0,0,1,0,0
CD4_T,0,40923,48,0,0,3,15,12
CD8_T,1,93,25292,0,0,12,39,32
DC,0,0,0,3577,10,0,2,0
Mono,1,1,0,10,48986,0,12,0
NK,0,1,7,0,0,18639,8,9
other,3,33,11,1,127,6,3258,3
other_T,0,22,54,0,0,12,6,6695
