gene_ids,feature_is_filtered,feature_name,feature_reference,feature_biotype
ENSG00000171603,False,CLSTN1,NCBITaxon:9606,gene
ENSG00000178585,False,CTNNBIP1,NCBITaxon:9606,gene
ENSG00000162441,False,LZIC,NCBITaxon:9606,gene
ENSG00000173614,False,NMNAT1,NCBITaxon:9606,gene
ENSG00000162444,False,RBP7,NCBITaxon:9606,gene
ENSG00000130939,False,UBE4B,NCBITaxon:9606,gene
ENSG00000054523,False,KIF1B,NCBITaxon:9606,gene
ENSG00000284735,False,RP4-736L20.4,NCBITaxon:9606,gene
ENSG00000284642,False,RP4-736L20.5,NCBITaxon:9606,gene
ENSG00000142657,False,PGD,NCBITaxon:9606,gene
ENSG00000175279,False,CENPS,NCBITaxon:9606,gene
ENSG00000160049,False,DFFA,NCBITaxon:9606,gene
ENSG00000142655,False,PEX14,NCBITaxon:9606,gene
ENSG00000130940,False,CASZ1,NCBITaxon:9606,gene
ENSG00000175262,False,C1orf127,NCBITaxon:9606,gene
ENSG00000120948,False,TARDBP,NCBITaxon:9606,gene
ENSG00000116649,False,SRM,NCBITaxon:9606,gene
ENSG00000171824,False,EXOSC10,NCBITaxon:9606,gene
ENSG00000226849,False,RP4-635E18.7,NCBITaxon:9606,gene
ENSG00000230337,False,EXOSC10-AS1,NCBITaxon:9606,gene
ENSG00000198793,False,MTOR,NCBITaxon:9606,gene
ENSG00000120942,False,UBIAD1,NCBITaxon:9606,gene
ENSG00000116661,False,FBXO2,NCBITaxon:9606,gene
ENSG00000132879,False,FBXO44,NCBITaxon:9606,gene
ENSG00000116663,False,FBXO6,NCBITaxon:9606,gene
ENSG00000116670,False,MAD2L2,NCBITaxon:9606,gene
ENSG00000162490,False,DRAXIN,NCBITaxon:9606,gene
ENSG00000177674,False,AGTRAP,NCBITaxon:9606,gene
ENSG00000215910,False,C1orf167,NCBITaxon:9606,gene
ENSG00000177000,False,MTHFR,NCBITaxon:9606,gene
ENSG00000011021,False,CLCN6,NCBITaxon:9606,gene
ENSG00000116685,False,KIAA2013,NCBITaxon:9606,gene
ENSG00000083444,False,PLOD1,NCBITaxon:9606,gene
ENSG00000116688,False,MFN2,NCBITaxon:9606,gene
ENSG00000116691,False,MIIP,NCBITaxon:9606,gene
ENSG00000120949,False,TNFRSF8,NCBITaxon:9606,gene
ENSG00000028137,False,TNFRSF1B,NCBITaxon:9606,gene
ENSG00000048707,False,VPS13D,NCBITaxon:9606,gene
ENSG00000162496,False,DHRS3,NCBITaxon:9606,gene
ENSG00000272482,False,RP11-474O21.5,NCBITaxon:9606,gene
ENSG00000116731,False,PRDM2,NCBITaxon:9606,gene
ENSG00000189337,False,KAZN,NCBITaxon:9606,gene
ENSG00000171729,False,TMEM51,NCBITaxon:9606,gene
ENSG00000142621,False,FHAD1,NCBITaxon:9606,gene
ENSG00000228140,False,RP3-467K16.4,NCBITaxon:9606,gene
ENSG00000142634,False,EFHD2,NCBITaxon:9606,gene
ENSG00000132906,False,CASP9,NCBITaxon:9606,gene
ENSG00000116138,False,DNAJC16,NCBITaxon:9606,gene
ENSG00000272510,False,RP4-680D5.8,NCBITaxon:9606,gene
ENSG00000116771,False,AGMAT,NCBITaxon:9606,gene
ENSG00000237301,False,RP4-680D5.2,NCBITaxon:9606,gene
ENSG00000197312,False,DDI2,NCBITaxon:9606,gene
ENSG00000116786,False,PLEKHM2,NCBITaxon:9606,gene
ENSG00000162461,False,SLC25A34,NCBITaxon:9606,gene
ENSG00000162458,False,FBLIM1,NCBITaxon:9606,gene
ENSG00000233954,False,UQCRHL,NCBITaxon:9606,gene
ENSG00000179743,False,FLJ37453,NCBITaxon:9606,gene
ENSG00000065526,False,SPEN,NCBITaxon:9606,gene
ENSG00000116809,False,ZBTB17,NCBITaxon:9606,gene
ENSG00000142627,False,EPHA2,NCBITaxon:9606,gene
ENSG00000142632,False,ARHGEF19,NCBITaxon:9606,gene
ENSG00000132881,False,CPLANE2,NCBITaxon:9606,gene
ENSG00000037637,False,FBXO42,NCBITaxon:9606,gene
ENSG00000055070,False,SZRD1,NCBITaxon:9606,gene
ENSG00000187144,False,SPATA21,NCBITaxon:9606,gene
ENSG00000157191,False,NECAP2,NCBITaxon:9606,gene
ENSG00000226029,False,LINC01772,NCBITaxon:9606,gene
ENSG00000261135,False,RP4-798A10.7,NCBITaxon:9606,gene
ENSG00000219481,False,NBPF1,NCBITaxon:9606,gene
ENSG00000058453,False,CROCC,NCBITaxon:9606,gene
ENSG00000228549,False,RP11-108M9.3,NCBITaxon:9606,gene
ENSG00000238142,False,RP11-108M9.4,NCBITaxon:9606,gene
ENSG00000272426,False,RP11-108M9.6,NCBITaxon:9606,gene
ENSG00000159363,False,ATP13A2,NCBITaxon:9606,gene
ENSG00000117118,False,SDHB,NCBITaxon:9606,gene
ENSG00000117115,False,PADI2,NCBITaxon:9606,gene
ENSG00000159339,False,PADI4,NCBITaxon:9606,gene
